品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
,1501-M02,599.00,2016年,,,其他,联发科（MTK),,,,16GB ROM,2GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/2766752.html,360手机 F4 2GB+16GB 魔力白 移动4G手机 双卡双待,360手机旗舰店,7155
,奇酷手机青春版（全网通）,899.00,2015年,10月,安卓（Android）,Android 5.1,联发科（MTK),MT6753,八核,,16GB ROM,2GB RAM,64GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/2741390.html,【秒杀版】奇酷（QiKU）青春版 流光金 移动联通电信4G手机 双卡双待,360手机旗舰店,72450
奇酷QiKU,8692-A00,2999.00,2015年,12月,安卓（Android）,360 OS (Android 5.1),Qualcomm 骁龙,骁龙808,6核64位处理器,,128GB ROM,4GB RAM,64GB,6.0英寸,2560×1440（2K）,双1300万像素，双摄对焦，F1.8，6P镜头,800万像素,http://item.jd.com/2278509.html,奇酷（QiKU）旗舰极客版 铂金 移动联通电信4G手机 双卡双待,360手机旗舰店,10097
大神,8676-A01,899.00,2015年,7月,安卓（Android）,360 OS (Android 5.1),联发科（MTK),MT6753,八核,,16GB ROM,2GB RAM,64GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1897393.html,大神Note3 （8676-A01） 魔力白 移动联通电信4G手机 双卡双待,360手机旗舰店,12919
大神,其它,749.00,2014年,,安卓（Android）,Android 4.4,联发科（MTK),MT6592,八核,,16GB ROM,2GB RAM,32GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/2489608.html,【套装版】大神（Dazen）F2（8675-HD） 智尚白 移动版4G手机,360手机旗舰店,121833
,1503M02,1199.00,2016年,,,Android ,其他,,十核,,32GB ROM,4GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/1961551383.html,全球购 360 奇酷/QIKU N4 移动4G手机 指纹解锁 阳光白 移动4GB+32GB,GIT通讯数码旗舰店,5
奇酷QiKU,奇酷手机青春版（全网通3GB内存版）,1239.00,2015年,10月,安卓（Android）,360 OS (Android 5.1),联发科（MTK),MT6753,八核,,16GB ROM,3GB RAM,64GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/2452481.html,【电信赠费版】奇酷（QiKU）青春版 3GB+16GB版 流光金 移动联通电信4G手机 双卡双待,,16
奇酷（qiku）,X7,758.00,2015年,,,Android ,联发科（MTK),,八核,,16GB ROM,2GB RAM,32GB,5.2英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/10146237661.html,奇酷 大神X7 双卡双待4G手机（16G ROM） 钛晶白 移动4G版,爱优创杰手机专营店,30
奇酷QiKU,奇酷手机青春版（全网通）,899.00,2015年,10月,安卓（Android）,360 OS (Android 5.1),联发科（MTK),MT6753,八核,,16GB ROM,2GB RAM,64GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/2789298.html,【联通赠费版】奇酷（QiKU）青春版 流光金 移动联通电信4G手机 双卡双待,,1
奇酷QiKU,奇酷手机青春版（全网通）,899.00,2015年,10月,安卓（Android）,360 OS (Android 5.1),联发科（MTK),MT6753,八核,,16GB ROM,2GB RAM,64GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/2726635.html,【电信赠费版】奇酷（QiKU）青春版 流光金 移动联通电信4G手机 双卡双待,,0
奇酷QiKU,奇酷手机青春版（全网通3GB内存版）,1239.00,2015年,10月,安卓（Android）,360 OS (Android 5.1),联发科（MTK),MT6753,八核,,16GB ROM,3GB RAM,64GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/2452030.html,【联通赠费版】奇酷（QiKU）青春版 3GB+16GB版 流光金 移动联通电信4G手机 双卡双待,,9
奇酷（qiku）,360,988.00,其它,,安卓（Android）,其他,联发科（MTK),MT6753,,,16GB ROM,,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,其它,http://item.jd.com/1961674570.html,全球购 亚太版 QIKU/奇酷 青春版 5.5 英寸 高配全网通4G智能手机 金色 指纹解锁  2G/16GB 质保180天只换新,GIT通讯数码旗舰店,7
,1501-M02,799.00,2016年,,,其他,联发科（MTK),,,,32GB ROM,3GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/2733149.html,【预售活动】360手机 F4 高配版 3GB+32GB 玫瑰金 移动4G手机 双卡双待,360手机旗舰店,0
