品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
Apple,iPhone 6S Plus,6288.00,2015年,9月,苹果（IOS）,iOS,苹果,,,,64GB ROM(全新状态 可用存储空间55.3GB),,,5.5英寸,1920 x 1080,1200万像素,500万像素,http://item.jd.com/1861098.html,Apple iPhone 6s Plus (A1699) 64G 玫瑰金色 移动联通电信4G手机,京东Apple产品专营店,210420
Apple,iPhone 6S,5688.00,2015年,9月,苹果（IOS）,iOS,苹果,,,,64GB ROM(全新状态 可用存储空间55.3GB),,,4.7英寸,1334 x 750,1200万像素,500万像素,http://item.jd.com/1856588.html,Apple iPhone 6s (A1700) 64G 玫瑰金色 移动联通电信4G手机,京东Apple产品专营店,438027
苹果（Apple）,iPhone 6 A1586,3788.00,2014年,9月,苹果（IOS）,iOS,苹果,,,,16GB ROM(全新状态 可用存储空间10.8GB),,,4.7英寸,1334 x 750,800万像素,120万像素,http://item.jd.com/1217501.html,Apple iPhone 6 (A1586) 16GB 银色 移动联通电信4G手机,京东Apple产品专营店,381366
苹果（Apple）,iPhone 5s,2198.00,2013年,,苹果（IOS）,iOS,苹果,A7芯片 M7运动协处理器,双核,,16GB ROM  （1GB = 10 亿字节）,1GB RAM,,4.0英寸,1136×640,800万像素,120万像素,http://item.jd.com/1057746.html,Apple iPhone 5s (A1530) 16GB 金色 移动联通4G手机,京东Apple产品专营店,389424
苹果（Apple）,iPhone 6 Plus A1524,4488.00,2014年,9月,苹果（IOS）,iOS,苹果,,,,16GB ROM(全新状态 可用存储空间10.8GB),,,5.5英寸,1920 x 1080,800万像素,120万像素,http://item.jd.com/1217526.html,Apple iPhone 6 Plus (A1524) 16GB 银色 移动联通电信4G手机,京东Apple产品专营店,204441
Apple,iPhone 6S,5488.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,64GB ROM(全新状态 可用存储空间55.3GB),,,4.7英寸,1334 x 750,1200万像素,500万像素,http://item.jd.com/1867694.html,【电信赠费版】Apple iPhone 6s 64G 玫瑰金 移动联通电信4G手机,,682
Apple,iPhone 6S,5488.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,64GB ROM(全新状态 可用存储空间55.3GB),,,4.7英寸,1334 x 750,1200万像素,500万像素,http://item.jd.com/1867711.html,【电信赠费版】Apple iPhone 6s 64G 金色 移动联通电信4G手机,,468
苹果（Apple）,iPhone 6 A1589,3888.00,2014年,9月,,iOS,苹果,,,,16GB ROM(全新状态 可用存储空间11.2GB),,,4.7英寸,1334 x 750,800万像素,120万像素,http://item.jd.com/1219033.html,【移动购机赠费】Apple iPhone 6 (A1589) 16GB 金色 移动4G手机,中国移动官方旗舰店,5292
Apple,iPhone 6S Plus,6288.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,64GB ROM(全新状态 可用存储空间约55.3GB),,,5.5英寸,1920 x 1080,1200万像素,500万像素,http://item.jd.com/1866999.html,【移动购机赠费】Apple iPhone 6s Plus (A1699) 64G 玫瑰金色 移动联通电信4G手机,中国移动官方旗舰店,617
Apple,iPhone 6S,5388.00,2015年,9月,苹果（IOS）,iOS9.0.1,苹果,,,,64GB ROM(全新状态 可用存储空间约55.3GB),,,4.7英寸,1334 x 750,1200万像素,500万像素,http://item.jd.com/2447159.html,【移动购机赠费】Apple iPhone 6s (A1691) 64G 玫瑰金色 移动4G手机 ,中国移动官方旗舰店,165
苹果（Apple）,5SE,3288.00,2016年,,苹果（IOS）,IOS,其他,,,,64GB ROM,,,4.0英寸,1136×640,1200万像素,120万像素,http://item.jd.com/1958345799.html,全球购 Apple iphone SE(A1723) 苹果手机港版移动联通4G手机 玫瑰金色 16G,香港智诚博扬专营店,625
Apple,iPhone 6S Plus,6288.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,64GB ROM(全新状态 可用存储空间约55.3GB),,,5.5英寸,1920 x 1080,1200万像素,500万像素,http://item.jd.com/1867006.html,【北京移动购机赠费】Apple iPhone 6s Plus (A1699) 64G 玫瑰金色 移动联通电信4G手机,北京移动旗舰店,732
Apple,iPhone 6S,5488.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,64GB ROM(全新状态 可用存储空间约55.3GB),,,4.7英寸,1334 x 750,1200万像素,500万像素,http://item.jd.com/1866686.html,【北京移动购机赠费】Apple iPhone 6s (A1700) 64G 玫瑰金色 移动联通电信4G手机,北京移动旗舰店,655
苹果（Apple）,iphonese,3958.00,2016年,,,其他,其他,,,,其它,,,4.0英寸,1136×640,1200万像素,120万像素,http://item.jd.com/1958434755.html,全球购 Apple iphone SE 苹果手机港版移动联通4G手机 玫瑰金色 64G,FUSTAR数码专营店,97
苹果（Apple）,iphoneSE,3288.00,2016年,,,IOS,其他,,,,16GB ROM,,,4.0英寸,1136×640,1200万像素,其它,http://item.jd.com/1958352909.html,苹果手机 Apple iPhone SE 手机 SE 港版 移动联通4G 金色 16GB,量子科技专营店,265
Apple,iPhone 6S,5688.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,64GB ROM(全新状态 可用存储空间55.3GB),,,4.7英寸,1334 x 750,1200万像素,500万像素,http://item.jd.com/1867712.html,【电信赠费版】Apple iPhone 6s 64G 深空灰 移动联通电信4G手机,,265
Apple,iPhone 6S Plus,6288.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,64GB ROM(全新状态 可用存储空间55.3GB),,,5.5英寸,1920 x 1080,1200万像素,500万像素,http://item.jd.com/1867044.html,【电信赠费版】Apple iPhone 6s Plus 64G 玫瑰金 移动联通电信4G手机,,327
Apple,iPhone 6S,4888.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,16GB ROM(全新状态 可用存储空间11.2GB),,,4.7英寸,1334 x 750,1200万像素,500万像素,http://item.jd.com/1867038.html,【电信赠费版】Apple iPhone 6s 16G 玫瑰金 移动联通电信4G手机,,650
Apple,iPhone 6S Plus,5688.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,16GB ROM(全新状态 可用存储空间11.2GB),,,5.5英寸,1920 x 1080,1200万像素,500万像素,http://item.jd.com/1867707.html,【电信赠费版】Apple iPhone 6s Plus 16G 玫瑰金 移动联通电信4G手机,,143
Apple,iPhone 6S Plus,5688.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,16GB ROM(全新状态 可用存储空间11.2GB),,,5.5英寸,1920 x 1080,1200万像素,500万像素,http://item.jd.com/1867698.html,【电信赠费版】Apple iPhone 6s Plus 16G 金色 移动联通电信4G手机,,156
Apple,iPhone 6S,5688.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,64GB ROM(全新状态 可用存储空间55.3GB),,,4.7英寸,1334 x 750,1200万像素,500万像素,http://item.jd.com/1867699.html,【电信赠费版】Apple iPhone 6s 64G 银色 移动联通电信4G手机,,254
,,2398.00,,,,,,,,,,,,,,,,http://item.jd.com/1649543.html,【北京移动购机赠费】Apple iPhone 5s (A1530) 16GB 金色 移动联通4G手机,北京移动旗舰店,799
,,3888.00,,,,,,,,,,,,,,,,http://item.jd.com/1247739.html,【北京移动购机赠费】Apple iPhone 6 (A1589) 16GB 金色 移动4G手机,北京移动旗舰店,358
,apple,3898.00,2014年,9月,,IOS,苹果,,,,16GB ROM,,,4.7英寸,1334×750,800万像素,120万像素,http://item.jd.com/1955329456.html,Apple iPhone 6(A1586)  正品港行 苹果手机 金色 16G,香港智诚博扬专营店,299
Apple,iPhone 6S,4888.00,2015年,9月,苹果（IOS）,IOS,苹果,,,,16GB ROM(全新状态 可用存储空间11.2GB),,,4.7英寸,1334 x 750,1200万像素,500万像素,http://item.jd.com/1867034.html,【电信赠费版】Apple iPhone 6s 16G 金色 移动联通电信4G手机,,518
,4S,1388.00,2012年,,,其他,苹果,,,,8GB ROM,512MB RAM,,3.5英寸,640×960,其他,其它,http://item.jd.com/1959155136.html,全球购 亚太版 苹果 iPhone4s 联通 移动 3G智能手机 (可用内存3-4GB) IOS 8.0系统  白色 8GB 质保180天只换新+官方保修一年,GIT通讯数码旗舰店,48
苹果（Apple）,iPhone 6 A1586,3888.00,2014年,9月,苹果（IOS）,IOS,苹果,,,,16GB ROM(全新状态 可用存储空间约10.8GB),,,4.7英寸,1334 x 750,800万像素,120万像素,http://item.jd.com/1324597.html,【北京移动购机赠费】Apple iPhone 6 (A1586) 16GB 银色 移动联通电信4G手机,北京移动旗舰店,274
,iphoneSE,4088.00,2016年,,,IOS,苹果,,,,16GB ROM,2GB RAM,,4.0英寸,1136×640,1200万像素,其它,http://item.jd.com/1958919171.html,全球购 Apple 苹果 iPhone SE 智能手机 粉色 支持 移动 联通双4G 港行  64GB 质保180天只换新,GIT通讯数码旗舰店,92
