品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
长虹（CHANGHONG）,A200,1999.00,2016年,3月,安卓（Android）,Android 4.4,Qualcomm 骁龙,MSM8916,四核,,16GB ROM,1GB RAM,32GB,4.0英寸,480×800,1300万像素,800万像素,http://item.jd.com/10154860811.html,长虹(CHANGHONG)A200 全网通手机 智能翻盖手机 双卡双待 天空蓝,长虹手机旗舰店,112
长虹（CHANGHONG）,GA889,399.00,2014年,12月,,无,联发科（MTK),,,,64MB ROM,64MB RAM,8GB,3.5英寸,320*480,200万像素,不支持,http://item.jd.com/1424919580.html,长虹(CHANGHONG)GA889绅士版 翻盖手机 移动/联通2G老人机  双卡双待 黑色,长虹手机旗舰店,2413
长虹（CHANGHONG）,T02,399.00,2016年,3月,,YunOS,联发科（MTK),,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/10163037906.html,长虹(CHANGHONG)T02炫彩 智能老人手机 移动4G手机 双卡双待 流光金,长虹手机旗舰店,303
长虹（CHANGHONG）,T07,799.00,2016年,4月,,YunOS,联发科（MTK),MT6735P,四核,,16GB ROM,2GB RAM,32GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10257955350.html,长虹(CHANGHONG)T07锋尚 移动/联通双4G智能手机 双卡双待 白金,长虹手机旗舰店,91
长虹（CHANGHONG）,A100,1599.00,2015年,4月,安卓（Android）,Android 4.4,联发科（MTK),MT6582,四核,,8GB ROM,1GB RAM,32GB,3.7英寸,480×800,800万像素,500万像素,http://item.jd.com/1520255249.html,长虹（CHANGHONG）A100 翻盖手机 移动4G 双屏智能机 双卡双待 黑金色,长虹手机旗舰店,334
长虹（CHANGHONG）,GA718,318.00,2014年,,,无,联发科（MTK),,,,64MB ROM,64MB RAM,32GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/1389768254.html,长虹（CHANGHONG）GA718 老人手机 移动/联通2G  双卡双待 黑色,长虹手机旗舰店,3621
,C03,399.00,2015年,,,YunOS,Qualcomm 骁龙,,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/10207421224.html,长虹（CHANGHONG）C03 CDMA电信4G 高配版 1G+8G内存 双卡 白色,卓瓦手机专营店,57
长虹（CHANGHONG）,GA799,399.00,2015年,6月,,无,联发科（MTK),,,,32MB,64MB RAM,8GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/1605556784.html,长虹（CHANGHONG）GA799 老人手机 移动/联通2G  双卡双待 黑金色,长虹手机旗舰店,461
长虹（CHANGHONG）,GA888,189.00,2014年,,,无,联发科（MTK),,,,64MB ROM,64MB RAM,32GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1389894650.html,长虹（CHANGHONG）GA888五行 老人手机 移动/联通2G 双卡双待 黑色,长虹手机旗舰店,1533
长虹（CHANGHONG）,GA958,99.00,2015年,11月,,无,其他,,,,32MB,32MB RAM,32GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10024165683.html,长虹(CHANGHONG)GA958老人手机 移动/联通2G  双卡双待 金色,长虹手机旗舰店,3705
长虹（CHANGHONG）,GA588,298.00,2015年,,,无,联发科（MTK),,,,64MB ROM,64MB RAM,32GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1389709135.html,长虹（CHANGHONG）GA588悍马 移动/联通2G  老人手机 黑+金色,长虹手机旗舰店,1254
长虹（CHANGHONG）,GA798,268.00,2015年,6月,,无,联发科（MTK),,,,64MB ROM,64MB RAM,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1612406404.html,长虹（CHANGHONG）GA798 老人手机 移动/联通2G   双卡双待 黑+金,长虹手机旗舰店,546
,A200,1999.00,2016年,,安卓（Android）,其他,Qualcomm 骁龙,,,,16GB ROM,1GB RAM,32GB,4.0英寸,480×800,1300万像素,800万像素,http://item.jd.com/10257433597.html,长虹(CHANGHONG)A200 4G全网通 双屏智能翻盖 双卡双待 智能手机 天空蓝,卓瓦手机专营店,5
长虹（CHANGHONG）,GA768,298.00,2015年,6月,,无,联发科（MTK),,,,64MB ROM,64MB RAM,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1613438595.html,长虹（CHANGHONG）GA768 老人手机 移动/联通2G 双卡双待 黑色,长虹手机旗舰店,179
长虹（CHANGHONG）,GA888C,199.00,2015年,,,无,其他,,,,无,,,2.4英寸,240*320,其他,不支持,http://item.jd.com/10191700340.html,长虹（CHANGHONG）GA888C CDMA电信 老人手机 黑色,卓瓦手机专营店,49
,C03,369.00,2010年,,,YunOS,Qualcomm 骁龙,,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/10346537436.html,长虹（CHANGHONG）C03 CDMA电信4G手机 高配单卡版1G+8G 白色,卓瓦手机专营店,1
长虹（CHANGHONG）,T03,599.00,2015年,11月,安卓（Android）,YunOS,联发科（MTK),,四核,,16GB ROM,1GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10024905274.html,长虹（CHANGHONG）T03锋至版 移动4G手机 双卡双待 白+银,长虹手机旗舰店,162
