品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
酷派（Coolpad）,8298-A01,639.00,2015年,,,安卓5.1,联发科（MTK),MT6735,四核,,8GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/2715920.html,酷派 全魔王（8298-A01）白色 移动联通电信4G手机 双卡双待,酷派手机旗舰店,375
酷派（Coolpad）,Y75,529.00,2014年,12月,安卓（Android）,Android 4.4,Qualcomm 骁龙,MSM8916,四核,,8GB ROM,1GB RAM,32GB,5.5英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/1345417.html,酷派 锋尚 Y75 白色 移动4G手机 双卡双待,酷派手机旗舰店,11890
酷派（Coolpad）,锋尚2 Y82-520,568.00,2015年,9月,安卓（Android）,Android 4.4,Qualcomm 骁龙,MSM8916,四核,,8GB ROM,2GB RAM,32GB,5.5英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/1905390.html,酷派 锋尚2 Y82-520 陶瓷白 电信4G手机,酷派手机旗舰店,2123
酷派（Coolpad）,锋尚Pro2 Y91-921,1999.00,2016年,3月,安卓（Android）,5.1,Qualcomm 骁龙,MSM8929,八核,,32GB ROM,4GB RAM,32GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/2495189.html,酷派 锋尚Pro2 Y91-921 高配版 星钻白 移动联通电信4G手机 双卡双待,酷派手机旗舰店,337
酷派（Coolpad）,Y71-511,499.00,2015年,9月,安卓（Android）,Android 5.1,联发科（MTK),,四核,,16GB ROM,1GB RAM,32GB,5.0英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/2152158.html,酷派 锋尚Air Y71-511 金钻白 电信4G手机 双卡双待,酷派手机旗舰店,1027
酷派（Coolpad）,8712,298.00,2015年,,安卓（Android）,Android 4.4,其他,,,,其它,,,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/1647371441.html,酷派 8712 移动4G手机 双卡双待 灵动白512MB+4G标准版,优爱特手机专营店,1480
大神,x7,699.00,2015年,,安卓（Android）,Android 4.4,联发科（MTK),MT6595,八核,,16GB ROM,2GB RAM,32GB,5.2英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/10128948451.html,酷派 大神X7 双卡双待 4G 智能 手机（16G ROM） 黑加仑 移动4G 标配版,中恒国信手机旗舰店,364
酷派（Coolpad）,8085Q,215.00,2013年,,,Android 4.2,其他,LC1813,四核,,4GB ROM,512MB RAM,32GB,4.7英寸,480×854,500万像素,不支持,http://item.jd.com/1088285.html,酷派  8085Q 雅士黑 移动3G手机,酷派手机旗舰店,22118
酷派（Coolpad）,8722V,418.00,2月,2月,安卓（Android）,Android 5.1,联发科（MTK),MT6735P,,,8GB ROM,1GB RAM,64GB,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/2397737.html,酷派 8722V 白色 移动4G手机 双卡双待,酷派手机旗舰店,343
酷派,5200S,218.00,2014年,10月,安卓（Android）,Android 4.3,高通（Qualcomm),MSM8610,双核,,4GB ROM,512MB RAM,32GB,4.0英寸,480×800,30万像素,不支持,http://item.jd.com/1296490.html,酷派 5200S 炫动黑 电信3G手机 双卡双待,酷派手机旗舰店,8729
,锋尚mini Y72-921,1199.00,2016年,3月,安卓（Android）,Android ,Qualcomm 骁龙,MSM8916,四核,,16GB ROM,3GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,500万像素,http://item.jd.com/2495166.html,酷派 锋尚mini Y72-921 臻彩金 移动联通电信4G手机 双卡双待,酷派手机旗舰店,206
,8712,298.00,2015年,,安卓（Android）,Android 4.4,其他,,四核,,4GB ROM,512MB RAM,32GB,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/10072766014.html,酷派(Coolpad) 8712 移动4G手机 双卡双待 灵动白,天探手机专营店,634
酷派（Coolpad）,5263S,418.00,2015年,,安卓（Android）,Android 4.4,其他,,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/10032503464.html,酷派 5263S 电信4G手机 灵动白 双卡双待版,优爱特手机专营店,1085
大神,F2,799.00,2014年,10月,安卓（Android）,Android 4.4,其他,,八核,,16GB ROM,2GB RAM,,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1643436242.html,大神 F2 双卡双待手机 智尚白 移动4G版标配,佳沪数码手机旗舰店,2144
