品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
金立（Gionee）,W909,3999.00,2016年,3月,安卓（Android）,Android ,联发科（MTK),MT6755M,八核,MALI-860,64GB ROM,4GB RAM,128GB,4.2英寸,"1280×720(HD,720P) ",1600万像素,500万像素,http://item.jd.com/2493326.html,金立 天鉴 W909 金色 移动联通电信4G手机 双卡双待,金立手机旗舰店,414
金立（Gionee）,金钢全网通,999.00,2015年,12月,,Android 5.1,联发科（MTK),MT6735,四核,mali-T720,16GB ROM,3GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",800万像素,500万像素,http://item.jd.com/2259491.html,金立 金钢 标准版 爵士金 移动联通电信4G手机 双卡双待,金立手机旗舰店,1880
金立（Gionee）,S8,2599.00,2016年,4月,,Android ,联发科（MTK),MT6755,八核,MALI-860,64GB ROM,4GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1600万像素,800万像素,http://item.jd.com/2493227.html,金立 S8 闪耀金  移动联通电信4G手机 双卡双待,金立手机旗舰店,351
金立（Gionee）,M5Plus,2499.00,2015年,12月,,Android 5.1,联发科（MTK),MT6753,八核,mali-T720,64GB ROM,3GB RAM,128GB,6.0英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/2233814.html,金立 M5Plus 岁月金 移动联通电信4G手机 双卡双待,金立手机旗舰店,1228
金立（Gionee）,F100,599.00,2016年,4月,安卓（Android）,Android ,联发科（MTK),MT6735,四核,Mali-T720,16GB ROM,1GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",500万像素,200万像素,http://item.jd.com/2889614.html,金立 F100 雪金白 移动4G手机 双卡双待,金立手机旗舰店,38
金立（Gionee）,V580,399.00,2016年,1月,,无,联发科（MTK),,,,8GB ROM,,,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/2310587.html,金立 V580 雅致黑 移动联通2G手机 双卡双待,金立手机旗舰店,589
金立（Gionee）,F105,999.00,2016年,1月,Android 5.1,Amigo 3.1（基于Android 5.1）,联发科（MTK),MT6735M,四核,Mali-T720,16GB ROM,3GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",800万像素,500万像素,http://item.jd.com/2306538.html,金立 F105 流沙金 移动4G手机 双卡双待,金立手机旗舰店,136
金立（Gionee）,V338,338.00,2014年,,,无,联发科MTK,MT6253D,,,128MB ROM,,,2.6英寸,240*320,30万像素,不支持,http://item.jd.com/1133079.html,金立 V338 经典黑 移动联通2G手机 双卡双待单通,金立手机旗舰店,3784
金立（Gionee）,W900S,3599.00,2016年,2月,安卓（Android）,Android 5.1,联发科（MTK),MT6753,八核,Mali-T720,32GB ROM,3GB RAM,128GB,4.0英寸,480×800,1300万像素,500万像素,http://item.jd.com/2375810.html,金立 天鉴 W900S 荣耀金 移动联通电信4G手机 双卡双待,金立手机旗舰店,115
金立（Gionee）,M3S,999.00,2015年,8月,安卓（Android）,Android ,Qualcomm 骁龙,MSM8916,四核,,16GB ROM,1.5GB,,5.0英寸,"1280×720(HD,720P) ",800万像素,500万像素,http://item.jd.com/1950675.html,金立 M3S 金沙白 联通电信4G手机 双卡双待,金立手机旗舰店,313
金立（Gionee）,S5,1699.00,2016年,5月,,Android ,联发科（MTK),MT6750,八核,ARM MALI-T860 MP2,32GB ROM,4GB RAM,128GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/2798369.html,金立 S5 耀金 移动联通电信4G手机 双卡双待,,0
金立（Gionee）,F103B,799.00,2016年,5月,安卓（Android）,Android 5.1,联发科（MTK),MT6735,四核,MALI-720,16GB ROM,1GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/2798439.html,金立 F103B 香槟金 全网通手机 双卡双待,,0
