品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
海尔（Haier）,6385T,398.00,2015年,8月,安卓（Android）,Android 4.4,展讯,,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,480×800,200万像素,支持,http://item.jd.com/1685466369.html,海尔 (Haier)  HL-6385T  移动4G 智能手机 香槟金,诚信精品惠手机专营店,1088
海尔（Haier）,M328V,198.00,2015年,9月,,其他,其他,,,,32MB,64MB RAM,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10126373138.html,海尔M328V 老人手机 移动联通2G 黑色,丽杰手机专营店,3055
海尔（Haier）,M316,379.00,2015年,7月,,无,联发科（MTK),,,,无,64MB RAM,8GB,4英寸以下,320*480,30万像素,不支持,http://item.jd.com/1640458905.html,海尔M316移动联通2G翻盖男款老人手机 双卡双待老年机大屏大声大按键 钢琴黑,飞音数码专营店,3619
海尔（Haier）,M680,198.00,2014年,4月,,无,其他,,,,64MB ROM,64MB RAM,128GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1372210738.html,海尔HG-M680 移动/联通2G三防老人手机 柠檬黄,建业盛林专营店,7873
海尔（Haier）,Haier,499.00,2015年,6月,安卓（Android）,Android 4.4,联发科（MTK),,四核,,16GB ROM,1GB RAM,64GB,5.0英寸,960×540(QHD),800万像素,500万像素,http://item.jd.com/1713921876.html,海尔 (Haier)  海乐1（HL-Y1） 移动联通双4G手机 宇光白,诚信精品惠手机专营店,1243
海尔（Haier）,M352L,239.00,2015年,11月,,其他,其他,,,,其它,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10044317501.html,海尔(Haier)M352L老人手机 移动联通2G翻盖手机 男 金色 老年男版,维库精品手机专营店,1319
海尔（Haier）,G100,999.00,2015年,4月,安卓（Android）,Android 4.4,联发科（MTK),MT6572,八核,,16GB ROM,2GB RAM,128GB,6.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1740735733.html,海尔(Haier) G100 移动4G智能手机 指纹解锁手机 香槟金,诚信精品惠手机专营店,193
海尔（Haier）,C101,199.00,2016年,4月,,其他,其他,,,,其它,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10284335658.html,海尔(Haier)C101电信版老人机老年手机电信版  CDMA2G电信老人手机 金色 电信版,维库精品手机专营店,48
海尔（Haier）,M350V,188.00,2016年,1月,,无,联发科（MTK),,,,其它,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10297135878.html,海尔(Haier)M350V 移动/联通2G 老人手机 金刚黑,东旭优品手机专营店,131
,M512,168.00,2015年,,,其他,其他,,,,无,,,4英寸以下,240*320,30万像素,不支持,http://item.jd.com/1557234718.html,海尔HG-M512 移动/联通2G  老人手机  双卡双待 炫彩金,建业盛林专营店,5688
海尔（Haier）,A310,178.00,2015年,,,其他,其他,,,,无,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1561834124.html,海尔 (Haier) 310 移动/联通2G 翻盖老人手机 双卡双待 咖啡色,诚信精品惠手机专营店,2528
海尔（Haier）,M311,99.00,2015年,,,无,其他,,,,无,32MB RAM,8GB,1.77英寸,240*320,8万像素,不支持,http://item.jd.com/1610629900.html,海尔M311 移动/联通2G 老人手机 双卡双待 梦幻粉,吉家祥园手机专营店,3672
海尔（Haier）,M500,99.00,2015年,,,无,其他,,,,无,,8GB,2.4英寸,240*320,130万以下 ,不支持,http://item.jd.com/1520755658.html,海尔（Haier）M500 老人手机 移动联通直板老人机 蓝色,海尔手机旗舰店,3334
,320,168.00,2015年,,,其他,其他,,,,其它,,32GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10311728805.html,海尔 M320 移动/联通2G 老人手机 富贵红,远帆洋手机专营店,107
海尔（Haier）,210,198.00,2015年,,,无,其他,,,,其它,,8GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/1484036879.html,海尔（Haier）210 移动联通2G老人手机 双卡双待 香槟金,炫华数码专营店,5485
海尔（Haier）,M316,399.00,2015年,7月,,无,联发科（MTK),,,,64GB ROM,64MB RAM,8GB,4英寸以下,320*480,30万像素,不支持,http://item.jd.com/10211324598.html,海尔（Haier）M316 移动联通2G 翻盖男款老人手机 双卡双待老年机大屏大声大按键 钢琴黑,笑笑手机专营店,36
海尔（Haier）,M313,169.00,2015年,1月,,其他,展讯,,,,无,,16GB,2.0英寸,240*320,30万像素,不支持,http://item.jd.com/1759460281.html,海尔（Haier）M313 移动联通2G 直板 按键老人手机 香槟金,百机汇手机旗舰店,1340
