品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
海信（Hisense）,C20.B1,1799.00,2016年,4月,,Android 5.1,Qualcomm 骁龙,MSM8929,,,32GB ROM,3GB RAM,,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/2587032.html,海信(Hisense) C20（金刚Ⅱ ）3GB+32GB内存版 爵士黑 全网通4G手机 双卡双待,海信手机旗舰店,142
海信（Hisense）,M20-T高配版,389.00,2015年,,,Android 4.4,Qualcomm 骁龙,MSM8909,四核,,8GB ROM,1GB RAM,,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/2054241.html,海信（Hisense） M20-T高配版 晴雪白 电信4G手机 双卡双待,海信手机旗舰店,899
海信（Hisense）,M20,389.00,2015年,,安卓（Android）,Android 4.4,Qualcomm 骁龙,,四核,,8GB ROM,1GB RAM,,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/10043055520.html,海信(Hisense) M20-T高配版1G+8G电信4G手机 双卡双待 晴雪白,卓瓦手机专营店,235
,M20T,299.00,2015年,,,Android 4.4,展讯,,,,4GB ROM,,,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/10104849703.html,海信(Hisense) M20-M 移动4G智能手机 5.0英寸屏 冰川白,五星手机专营店,150
,M20M,295.00,2015年,,安卓（Android）,Android 4.4,其他,,四核,,4GB ROM,,32GB,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/10221374816.html,海信(Hisense) M20-M 移动4G 双卡双待 智能手机 白色,天探手机专营店,88
,M20M,295.00,2015年,,,Android 4.4,展讯,,,,4GB ROM,,,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/1787900296.html,海信(Hisense) M20-M 移动4G双卡双待5英寸大屏安卓智能手机 白色,卓瓦手机专营店,133
海信（Hisense）,C20,1599.00,2015年,,安卓（Android）,Andriod 5.1,Qualcomm 骁龙,,八核,,16GB ROM,2GB RAM,,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10137652034.html,海信(Hisense) C20（金刚Ⅱ ） 全网通4G三防防水防摔防尘智能手机 爵士黑,卓瓦手机专营店,20
海信（Hisense）,G610M,999.00,2015年,,安卓（Android）,Android 4.4,Qualcomm 骁龙,MSM8916,四核,,16GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/10138527269.html,海信(Hisense)金刚G610M 16G 移动4G三防防水防摔防尘手机 劲锐黑,卓瓦手机专营店,9
海信（Hisense）,E70T,899.00,2015年,7月,安卓（Android）,,Qualcomm 骁龙,,八核,,16GB ROM,2GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1723035120.html,海信E70-T 天翼电信4G版CDMA/GSM双模双待八核智能手机 白色,卓瓦手机专营店,45
海信（Hisense）,E81,1599.00,2016年,1月,安卓（Android）,其他,Qualcomm 骁龙,,八核,,16GB ROM,2GB RAM,64GB,8英寸,1280×800,800万像素,200万像素,http://item.jd.com/10147213081.html,海信(Hisense) E81 4G版全网通手机 8英寸PAD通话平板 茉莉白,卓瓦手机专营店,21
