品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
HTC,HTC10,3799.00,2016年,5月,安卓（Android）,Android ,Qualcomm 骁龙,高通骁龙Snapdragon MSM8976 ,四核&四核,,64GB ROM,3GB RAM,2TB,5.2英寸,2560×1440（2K）,1200万像素,500万像素,http://item.jd.com/2730336.html,HTC 10 夜光灰 移动联通4G手机,HTC手机旗舰店,136
HTC,X9u,2199.00,2015年,12月,安卓（Android）,Android ,联发科（MTK),Helio X10,八核,,32GB ROM,3GB RAM,2TB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/2289535.html,HTC One X9 冰原银 移动联通双4G公开版 双卡双待,HTC手机旗舰店,1688
HTC,Desire D728w,999.00,2015年,9月,安卓（Android）,Android ,联发科（MTK),MT6573T,八核,,16GB ROM,2GB RAM,2TB,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1858313.html,HTC Desire D728w 白小鲜 移动联通4G手机,HTC手机旗舰店,481
HTC,One E9+,1799.00,2015年,4月,安卓（Android）,Android ,联发科（MTK),MTK 6795,八核,,32GB ROM,3GB RAM,128GB,5.5英寸,2560×1440（2K）,2000万,1300万像素,http://item.jd.com/1462851.html,HTC One E9+（E9pw） 公开版 银雅黑 移动联通4G手机 双卡双待,HTC手机旗舰店,2786
HTC,A9,2799.00,2015年,11月,安卓（Android）,Android ,Qualcomm 骁龙,617,四核&四核,,32GB ROM,3GB RAM,,5.0英寸,"1920×1080(FHD,1080P)",1300万像素,400万像素,http://item.jd.com/2379579.html,HTC One A9 峭壁灰 移动联通双4G手机 32G,HTC手机旗舰店,3855
HTC,M8s,2299.00,2015年,6月,安卓（Android）,Android ,Qualcomm 骁龙,,64位八核处理器,,16GB ROM,2GB RAM,128GB,5.0英寸,"1920×1080(FHD,1080P)",1300万像素\/200万像素双镜头,500万像素,http://item.jd.com/1710105.html,HTC One M8s  月光银 移动联通4G手机,HTC手机旗舰店,777
HTC,Desire D828w,1399.00,2015年,9月,安卓（Android）,Android 5.1,联发科（MTK),MT6753T,八核,Mali-T720,16GB ROM,2GB RAM,2TB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,400万像素,http://item.jd.com/1967483.html,HTC Desire D828w 公开版 4G手机 魅影灰,HTC手机旗舰店,431
HTC,HTC M9e,2499.00,2015年,10月,安卓（Android）,Android 5.0,联发科（MTK),MT6795T,八核,,16GB ROM,2GB RAM,最大扩展2TB,5.0英寸,"1920×1080(FHD,1080P)",1300万像素,400万像素,http://item.jd.com/2086532.html,HTC ONE M9（OIS光学防抖版）公开版 金尚金,HTC手机旗舰店,299
HTC,E9,1359.00,2015年,,,Android ,联发科（MTK),,八核,,16GB ROM,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,400万像素,http://item.jd.com/10186307998.html,HTC One E9 16G 双卡双待手机 黑色 (E9w) 移动联通4G标配版,牧申数码专营店,31
HTC,M9PT,2699.00,2015年,,,Android ,联发科（MTK),,八核,,32GB ROM,3GB RAM,,5.2英寸,2560×1440（2K）,2000万像素,支持,http://item.jd.com/10350834717.html,HTC M9PT(M9+) 移动定制4G手机 乌金灰 标配版,牧申数码专营店,2
HTC,826d,899.00,2015年,,,Android ,Qualcomm 骁龙,,八核,,16GB ROM,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,1300万像素,http://item.jd.com/10350725830.html,HTC Desire D826d 电信4G手机 双卡双待 白色 标配版,牧申数码专营店,0
,10,5269.00,2016年,,,Android 6.0,其他,,,,32GB ROM,,,5.2英寸,2560×1440（2K）,其他,500万像素,http://item.jd.com/1959315883.html,【全球购】宏达(HTC) HTC M10 智能手机 港版 台版 M10 月光银 台版 64G,魔力世界数码生活专营店,6
,HTCM10,5288.00,2016年,,,Android ,Qualcomm 骁龙,,,,32GB ROM,,,5.2英寸,2560×1440（2K）,1200万像素,500万像素,http://item.jd.com/1959765504.html,HTC 10 M810H 高通骁龙820 光雕流边一体成型 指纹解锁 4G智能手机 国际版 月光银 32G现货 32GB,Kyushu Star专营店,1
HTC,M9,2399.00,2015年,,,Android ,联发科（MTK),,八核,,32GB ROM,3GB RAM,,5.2英寸,2560×1440（2K）,2000万像素,400万像素,http://item.jd.com/10186450529.html,HTC ONE ME M9 32G 双卡双待4G手机 尚雅灰 (M9ew) 移动联通4G版,牧申数码专营店,0
,728,1399.00,2015年,,,Android ,联发科（MTK),,八核,,16GB ROM,2GB RAM,,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1955687888.html,全球购 亚太版 HTC Desire 728 双卡 移动 联通4G智能手机 白色 16GB 质保180天只换新+官方保修半年,GIT通讯数码旗舰店,1
,A9,2999.00,2015年,,安卓（Android）,Android ,Qualcomm 骁龙,,,,16GB ROM,2GB RAM,,5.0英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/1957844804.html,全球购 亚太版 HTC ONE A9-A9W 移动 联通 双4G智能手机 金色 3G/32G 高配 质保180天只换新+官方保修半年,GIT通讯数码旗舰店,2
,E9,2388.00,2015年,,安卓（Android）,Android ,联发科（MTK),,八核,,16GB ROM,2GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",2000万像素,1300万像素,http://item.jd.com/1955687174.html,全球购 海外版 HTC One E9 Dual sim  移动联通 4G智能手机 金色 32GB 质保180天只换新,GIT通讯数码旗舰店,4
HTC,,999.00,2015年,,,Android ,联发科（MTK),,八核,,16GB ROM,2GB RAM,,5.5英寸,"1280×720(HD,720P) ",1300万像素,800万像素,http://item.jd.com/10187151401.html,HTC D820ts 16G 双卡双待4G手机 镶蓝白 移动4G版(D820ts),牧申数码专营店,2
HTC,desire530,1499.00,2016年,2月,安卓（Android）,Android 6.0,Qualcomm 骁龙,,,,16GB ROM,1.5GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",800万像素,500万像素,http://item.jd.com/1961273432.html,HTC Desire 530 联通4G智能手机 双卡双待高通骁龙210港版四核手机 白色,surepromise全球购旗舰店,0
HTC,A9,2799.00,2015年,,安卓（Android）,其他,Qualcomm 骁龙,,四核&四核,,其它,2GB RAM,,5.0英寸,"1920×1080(FHD,1080P)",1300万像素,400万像素,http://item.jd.com/1956000228.html,HTC ONE A9  指纹识别 移动联通双4G智能手机 灰白色 32G,数字创想科技（香港）专营店,1
,,3018.00,,,,,,,,,,,,,,,,http://item.jd.com/1957266158.html,【eBay精选】HTC One M9 PLUS M9+ 5.2寸 32GB 银色 智能手机,bq_shop01,0
,,2999.00,,,,,,,,,,,,,,,,http://item.jd.com/1957269029.html,【eBay精选】HTC One M9 PLUS M9+ 5.2寸 32GB 灰色 智能手机,bq_shop01,0
,,2760.00,,,,,,,,,,,,,,,,http://item.jd.com/1957271019.html,【eBay精选】HTC Butterfly2 蓝色 双待 5寸 智能手机,bq_shop01,0
,,2606.00,,,,,,,,,,,,,,,,http://item.jd.com/1957271610.html,【eBay精选】HTC Butterfly2 白色 双待 5寸 智能手机 ,bq_shop01,0
HTC,one,2399.00,2015年,,安卓（Android）,其他,联发科（MTK),,八核,,32GB ROM,3GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,其它,http://item.jd.com/1957846103.html,全球购 亚太版 HTC ONE X9  移动联通 双卡双4G 智能手机 灰色  3G/32G 质保180天只换新+官方保修半年,GIT通讯数码旗舰店,2
,,1778.00,,,,,,,,,,,,,,,,http://item.jd.com/1958188671.html,【eBay精选】宏达/HTC Desire 826W 16G 银色 LET  4G智能手机,t-dimension8,0
,,1778.00,,,,,,,,,,,,,,,,http://item.jd.com/1958191912.html,【eBay精选】宏达/HTC Desire 826W 16G 蓝色 LET 4G智能手机,t-dimension8,0
,M10,3799.00,2016年,,安卓（Android）,Android ,Qualcomm 骁龙,,四核&四核,,64GB ROM,3GB RAM,2TB,5.2英寸,2560×1440（2K）,1200万像素,500万像素,http://item.jd.com/1959870747.html,全球购  HTC 新款 ONE M10 移动联通4G智能手机 鎏光金  3GB/64GB 质保30天包退/官方一年保修,GIT通讯数码旗舰店,1
HTC,Desire728dualsim,1699.00,2015年,,安卓（Android）,Android ,联发科（MTK),,,,16GB ROM,2GB RAM,2TB,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1961334576.html,HTC Desire 728 移动联通4G双卡双待智能手机 港版16GB 白色,surepromise全球购旗舰店,0
HTC,Desire728dualsim,1659.00,2015年,,安卓（Android）,Android ,联发科（MTK),,,,16GB ROM,2GB RAM,,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1961534481.html,HTC Desire 728 移动联通4G双卡双待智能手机 港版16GB 黑色,surepromise手机海外旗舰店,0
HTC,desire530,1459.00,2016年,2月,安卓（Android）,Android 6.0,Qualcomm 骁龙,,,,16GB ROM,2GB RAM,,5.0英寸,"1280×720(HD,720P) ",800万像素,500万像素,http://item.jd.com/1961536842.html,HTC Desire 530 联通4G智能手机 双卡双待高通骁龙210港版四核手机 灰色,surepromise手机海外旗舰店,0
HTC,desire826dual,1699.00,2015年,12月,安卓（Android）,Android 5.0,Qualcomm 骁龙,,,,16GB ROM,2GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",其他,400万像素,http://item.jd.com/1961570675.html,HTC desire 826dual sim双卡双待智能手机支持3g4g 蓝色,surepromise手机海外旗舰店,0
