品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
天语（K-Touch）,T2,99.00,2015年,,,无,其他,,,,无,,8GB,2.4英寸,240*320,8万像素,不支持,http://item.jd.com/10089815417.html,天语（K-Touch）T2 移动/联通2G 双卡双待 老人手机 金色,思创伟业手机专营店,2546
天语（K-Touch）,kis3w,299.00,2013年,9月,安卓（Android）,Android 4.2,联发科（MTK),MT6589,四核,,16GB ROM,1GB RAM,32GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1489636510.html,天语（K-Touch）kis3w 联通3G 智能手机 白色,天语手机旗舰店,394
,kis3w,299.00,2014年,,,Android 4.2,联发科（MTK),,四核,,16GB ROM,1GB RAM,32GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10140774574.html,天语（K-Touch）kis3w  豪华版 联通3G 智能手机 白色,天探手机专营店,97
,T2,99.00,2015年,12月,,无,其他,,,,无,,16GB,2.4英寸,240*320,8万像素,不支持,http://item.jd.com/1763830645.html,天语（K-Touch）T2 移动/联通GSM 双卡双待 老人手机 黑色,天探手机专营店,2484
天语（K-Touch）,kis2w,299.00,2013年,,安卓（Android）,Android 4.2,联发科（MTK),,,,16GB ROM,,,5.0英寸,1080×720 ,1300万像素,500万像素,http://item.jd.com/10279511694.html,天语（K-Touch）Kis 2w 联通3G 智能手机 白色,诺必信手机专营店,12
天语（K-Touch）,T2,99.00,2015年,,,无,其他,,,,无,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10179253144.html,天语（K-Touch）T2 移动/联通功能机 直板2G老人手机 金色,久汇手机专营店,106
天语（K-Touch）,Touch3W,329.00,2014年,,,Android 4.3,Qualcomm 骁龙,,,,8GB ROM,1GB RAM,,5.0英寸,480×854,500万像素,130万以下,http://item.jd.com/10228033653.html,天语（K-Touch）Tou ch3w 联通4G智能手机 莹白色,诺必信手机专营店,25
,h2,329.00,2016年,,,其他,其他,,四核,,8GB ROM,1GB RAM,,5.0英寸,480×854,200万像素,其它,http://item.jd.com/10343521951.html,天语（K-Touch）H2 移动4G 双卡双待手机 白色,天探手机专营店,9
天语（K-Touch）,,369.00,2014年,8月,安卓（Android）,Android 4.4,Qualcomm 骁龙,MSM8926,四核,,4GB ROM,1GB RAM,,5.0英寸,480×854,500万像素,支持,http://item.jd.com/1477721823.html,天语（K-Touch）touch3c 移动4G智能手机双卡双待 白色,天语手机旗舰店,450
天语（K-Touch）,R6,139.00,2015年,8月,,无,其他,,,,无,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10105273693.html,天语（K-Touch）R6 移动/联通2G老人手机 双卡双待 黑色,异维手机专营店,225
天语（K-Touch）,T2,99.00,2015年,12月,,其他,展讯,,,,其它,,,2.4英寸,240*320,8万像素,不支持,http://item.jd.com/10075464059.html,天语（K-Touch）T2  移动/联通GSM 老人手机 黑色,天语手机旗舰店,1051
天语（K-Touch）,T2,99.00,2015年,12月,,其他,展讯,,,,32MB,,,2.4英寸,240*320,8万像素,不支持,http://item.jd.com/10078049718.html,天语(K-Touch) T2  移动/联通GSM 老人手机 金色,优爱特手机专营店,224
天语（K-Touch）,R6,139.00,2015年,,,其他,联发科（MTK),,,,无,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10111754209.html,天语（K-Touch）R6 移动/联通2G  直板 按键老人手机 白色 老年版,百机汇手机旗舰店,83
天语（K-Touch）,T2,99.00,2015年,12月,,无,展讯,,,,32MB,,,2.4英寸,240*320,8万像素,不支持,http://item.jd.com/10112801089.html,天语(K-Touch) T2 移动/联通版GSM 直板按键学生老人手机 红色,卓瓦手机专营店,102
天语（K-Touch）,,369.00,2014年,1月,安卓（Android）,Android 4.3,Qualcomm 骁龙,MSM8926,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,480×854,500万像素,130万以下,http://item.jd.com/1479575427.html,天语（K-Touch）touch3 移动4G手机 白色,天语手机旗舰店,1772
天语（K-Touch）,R6,139.00,2015年,,,无,其他,,,,无,,,4英寸以下,240*320,30万像素,不支持,http://item.jd.com/10102141321.html,天语（K-Touch）R6 移动/联通2G 直板按键 老人手机 白色,众盛手机专营店,32
天语（K-Touch）,T2,99.00,2015年,12月,,无,其他,,,,无,,16GB,2.4英寸,240*320,8万像素,不支持,http://item.jd.com/10094499158.html,天语（K-Touch）T2 移动/联通2G 双卡双待 直板 按键老人手机 金色,众盛手机专营店,180
天语（K-Touch）,R6,139.00,2015年,,,其他,其他,,,,无,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10188507156.html,天语（K-Touch）R6 移动/联通2G 老人手机 黑色,久汇手机专营店,6
,,139.00,2015年,,,无,其他,,,,无,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10089625409.html,天语（K-Touch）R6 移动/联通GSM 双卡双待 老人手机 白色,天探手机专营店,100
,T2,99.00,2016年,,,无,其他,,,,其它,,16GB,2.4英寸,240*320,8万像素,不支持,http://item.jd.com/10313824787.html,天语（K-Touch）T2 移动/联通GSM 双卡双待 老人手机 金色,炫华数码专营店,3
天语（K-Touch）,L820c,239.00,2014年,12月,安卓（Android）,Android 4.4,Marvell,,四核,,4GB ROM,512MB RAM,,4.0英寸,480×800,200万像素,不支持,http://item.jd.com/1477752164.html,天语（K-Touch）L820c 移动4G智能手机 白色,天语手机旗舰店,192
