品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
康佳（KONKA）,K66,299.00,2015年,10月,,无,其他,,,,无,,32GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/1408271202.html,康佳（KONKA）K66 移动/联通2G 翻盖商务老人手机 黑色+金色,诚信精品惠手机专营店,1956
康佳（KONKA）,E1,1099.00,2016年,,安卓（Android）,YunOS,联发科（MTK),MT6735P,,,16GB ROM,3GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,800万像素,http://item.jd.com/10194728048.html,康佳（KONKA）E1 移动4G 智能手机 双卡双待 香槟金,康佳手机旗舰店,54
康佳（KONKA）,C621,179.00,2015年,8月,,无,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1740733020.html,康佳（KONKA）C621 电信2G 老人手机 电信版 黑色 老年版,诚信精品惠手机专营店,739
,K66,299.00,2015年,,,无,其他,,,,无,,32GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1311113517.html,康佳（KONKA）K66移动/联通2G翻盖男女款老人手机黑色+金色 ,豪泰手机专营店,546
康佳（KONKA）,K58,499.00,2012年,1月,,其他,其他,,,,其它,64MB RAM,,4英寸以下,240*400,200万像素,不支持,http://item.jd.com/1600966901.html,康佳(konka)K58 移动联通 手机 内外双屏 语音功能 双卡双待 老人手机 翻盖手机 金+灰,千机百惠手机专营店,97
康佳（KONKA）,R1,799.00,2015年,,,,联发科（MTK),,,,16GB ROM,1GB RAM,64GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,800万像素,http://item.jd.com/10060612972.html,康佳（KONKA）R1 智能手机 移动4G 双卡双待 金色,康佳手机旗舰店,145
康佳（KONKA）,D621,129.00,2015年,1月,,其他,其他,,,,其它,,8GB,2.0英寸,240*320,30万像素,不支持,http://item.jd.com/1452891386.html,康佳（KONKA）D621 移动/联通2G 老人手机 红色,诚信精品惠手机专营店,1582
康佳（KONKA）,D557,359.00,2015年,4月,安卓（Android）,Android 4.4,展讯,MSM8626,四核,,4GB ROM,512MB RAM,128GB,5.0英寸,480×854,500万像素,130万以下,http://item.jd.com/1568815961.html,康佳D557  移动4G智能手机 双卡双待 亮光白+香槟金,建业手机专营店,779
康佳（KONKA）,R2,999.00,2016年,,,Android ,联发科（MTK),MT6735P,四核,,16GB ROM,2GB RAM,128GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,800万像素,http://item.jd.com/10123055892.html,康佳（KONKA）R2 移动4G 智能手机 双卡双待 金色,康佳手机旗舰店,87
,X6,299.00,2015年,,,其他,其他,,,,128MB ROM,,,2.4英寸,240*320,200万像素,不支持,http://item.jd.com/10106060212.html,康佳X6 移动联通2G 翻盖老人手机女 双卡双待 红色,海纳手机专营店,37
,C621,179.00,2015年,9月,,无,其他,,,,无,,16GB,4英寸以下,240*320,30万像素,不支持,http://item.jd.com/1153548003.html,康佳（KONKA）C621 电信2G 直板男女款老人手机 大声音字体老人机 手机 金色+银色老年版 官方标配,豪泰手机专营店,641
康佳（KONKA）,K66,299.00,2015年,10月,,其他,其他,,,,128MB ROM,,,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10105484922.html,康佳K66 翻盖老人手机男 移动联通2G 双卡双待 黑+金,海纳手机专营店,16
康佳（KONKA）,D628,189.00,2014年,12月,,无,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10098515121.html,康佳（KONKA） D628 移动/联通2G直板手写按键老人手机 金色,众盛手机专营店,39
康佳（KONKA）,X6,269.00,2014年,11月,,其他,其他,,,,无,,8GB,2.4英寸,240*320,130万像素,不支持,http://item.jd.com/1372095603.html,康佳（KONKA）X6 移动/联通2G 翻盖老人手机 红色,诚信精品惠手机专营店,606
康佳（KONKA）,D621,129.00,2015年,2月,,无,联发科（MTK),,,,32MB,,8GB,2.0英寸,240*320,30万像素,不支持,http://item.jd.com/10090419089.html,康佳（KONKA）D621 移动/联通2G直板老人手机 双卡双待 黑色,天探手机专营店,44
,K66,299.00,2015年,,,其他,其他,,,,128MB ROM,,16GB,2.8英寸,240*320以下,30万像素,不支持,http://item.jd.com/1424015746.html,康佳（KONKA）K66 移动/联通2G翻盖老人手机 黑色+金色,天探手机专营店,60
康佳（KONKA）,K66,299.00,2015年,,,无,其他,,,,其它,,32GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/1294916987.html,康佳（Konka）K66 移动/联通2G老人手机 黑色   ,优爱特手机专营店,141
,D621,169.00,2015年,,,其他,其他,,,,无,,8GB,2.0英寸,240*320,30万像素,不支持,http://item.jd.com/1492385366.html,康佳（KONKA）D621 老人手机 移动/联通2G双卡双待 白色,吉家祥园手机专营店,230
康佳（KONKA）,X6,299.00,2014年,,,无,其他,,,,无,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1089857105.html,康佳X6老人手机 移动联通2G翻盖手机 黑 色,维库精品手机专营店,242
康佳（KONKA）,D818,299.00,2015年,6月,,无,其他,,,,其它,,,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/1633645056.html,康佳（KONKA）D818 移动/联通2G老人手机 金色,优爱特手机专营店,70
康佳（KONKA）,D2000,199.00,2013年,,,无,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1484079955.html,康佳（Konka）D2000 移动/联通2G老人手机 黑色+银色,优爱特手机专营店,67
康佳（KONKA）,D621,199.00,2015年,,,其他,其他,,,,128MB ROM,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10106122835.html,康佳D628 老人手机 移动联通2G 双卡双待 灰色,海纳手机专营店,5
康佳（KONKA）,c621,179.00,2015年,,,其他,其他,,,,其它,32MB RAM,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10079540607.html,康佳（KONKA）C621 电信2G 直板按键 老人手机 金+银,众盛手机专营店,45
康佳（KONKA）,D621,169.00,2014年,,,无,其他,,,,32MB,,,2.0英寸,240*320,30万像素,不支持,http://item.jd.com/1466159676.html,康佳（Konka）D621 移动/联通2G老人手机 黑色,优爱特手机专营店,127
康佳（KONKA）,X6,299.00,2014年,11月,,其他,其他,,,,无,,4GB,2.4英寸,240*320,200万像素,不支持,http://item.jd.com/1344789687.html,康佳（Konka) X6 移动/联通2G老人手机 红色,优爱特手机专营店,69
,K66,299.00,2015年,,,无,其他,,,,无,,32GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10206785778.html,康佳（KONKA）K66 移动/联通2G 翻盖老人手机 黑色+金色,建业手机专营店,1
康佳（KONKA）,D818,299.00,2015年,,,无,其他,,,,其它,,8GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10283392573.html,康佳（KONKA）D818 移动/联通2G直板老人手机 双卡双待 黑色 移动联通版,江南北手机通讯专营店,1
,C621,179.00,2015年,9月,,无,其他,,,,其它,,8GB,4英寸以下,240*320,30万像素,不支持,http://item.jd.com/10256854856.html,康佳（KONKA）C621 电信2G 老人手机 电信版 金色+银色老年版 官方标配,创联手机专营店,1
,EG750,499.00,2015年,,安卓（Android）,Android 4.4,联发科（MTK),MSM8916,四核,,8GB ROM,1GB RAM,,5.0英寸,480×854,500万像素,300万像素,http://item.jd.com/1683522587.html,康佳EG750电信4G智能手机 双卡双待 黑色,建业手机专营店,160
,C621,179.00,2015年,8月,,其他,其他,,,,其它,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10230576573.html,康佳（KONKA）C621 电信手机 老人机 红色+银色,久汇手机专营店,1
康佳（KONKA）,K66,299.00,2015年,10月,,其他,其他,,,,无,,32GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10156111902.html,康佳（KONKA）K66 移动/联通2G 翻盖老人手机 黑色+金色,多如意数码专营店,13
康佳（KONKA）,K66,299.00,2015年,10月,,无,其他,,单核,,其它,,32GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10257049873.html,康佳（KONKA）K66 移动/联通2G 翻盖商务老人手机 黑金色,创联手机专营店,1
康佳（KONKA）,C621,179.00,2015年,,,无,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10298424660.html,康佳（KONKA）C621 电信2G 老人手机 黑色,优爱特手机专营店,0
康佳（KONKA）,D621,139.00,2015年,,,无,其他,,,,无,,,2.0英寸,220×176,30万像素,不支持,http://item.jd.com/10098568204.html,康佳（KONKA）D621 移动/联通2G 双卡双待 直板按键老人手机 黑色,众盛手机专营店,13
康佳（KONKA）,L827,399.00,2014年,,安卓（Android）,Android 4.3,Qualcomm 骁龙,,,,4GB ROM,1GB RAM,32GB,5.5英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/1624696959.html,康佳（Konka）康佳L827 移动4G智能手机 钛灰+锖色,优爱特手机专营店,9
,D557,359.00,2016年,,,其他,其他,,四核,,8GB ROM,1GB RAM,,4.5英寸,480×854,500万像素,支持,http://item.jd.com/10362470110.html,康佳（KONKA）D557 移动4G 智能手机  8G高配版 白+金,天探手机专营店,0
