品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
联想（Lenovo）,K32C36,699.00,2016年,1月,,Android ,Qualcomm 骁龙,64-bit Qualcomm  Snapdragon  616 Octa-core 1.5GHz processor,八核,Adreno 405 (up to 550MHz ),16GB ROM,2GB RAM,32GB,5.0英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/2250255.html,联想  乐檬3 （K32C36）16GB 金色 移动4G手机 双卡双待,联想乐檬官方旗舰店,21324
联想（Lenovo）,Lenovo A808t,499.00,2014年,7月,安卓（Android）,Android 4.4,联发科（MTK),MT6592,八核,MT6592,16GB ROM,2GB RAM,32GB,5.0英寸,1280x720,1300万像素,500万像素,http://item.jd.com/1186170.html,联想(Lenovo) 黄金斗士A8（A808T）16G 珍珠白 移动4G手机,联想手机官方旗舰店,61058
联想（Lenovo）,K50-t3s,699.00,2015年,8月,安卓（Android）,Android 5.0,联发科（MTK),MT6752 64位处理器,八核,Mali-T760图形处理器，主频700MHz,16GB ROM,2GB LPDDR3 800MHz极速内存,32GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素 自动变焦摄像头,500万像素 固定焦距摄像头,http://item.jd.com/1695237.html,联想 乐檬 K3 Note（K50-t3s） 16G 珍珠白 移动4G手机 双卡双待,联想乐檬官方旗舰店,114364
联想（Lenovo）,K30-T,549.00,2015年,4月,安卓（Android）,Android 4.4,Qualcomm 骁龙,MSM8916 64位处理器,四核,ADRENO306图形处理器，主频400MHz,16GB ROM,2GB单通道LPDDR3 533MHz极速内存,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素 自动变焦摄像头,200万像素 固定焦距摄像头,http://item.jd.com/1433346.html,联想 乐檬 K3 移动增强版（K30-T）16G 典雅黄 移动4G手机 双卡双待,联想乐檬官方旗舰店,50223
联想（Lenovo）,A7600,599.00,2015年,4月,安卓（Android）,Android 5.0,联发科（MTK),MT6752m,八核,Mali-T760,8GB ROM,2GB RAM,32GB,5.5英寸,"1280×720(HD,720P) ",1300万像素 自动变焦摄像头,500万像素 固定焦距摄像头,http://item.jd.com/1386564.html,联想 (Lenovo) 黄金斗士 S8 (A7600-m) 珍珠白 移动4G手机 双卡双待,联想手机官方旗舰店,29780
联想（Lenovo）,Z90-3,899.00,2015年,,安卓（Android）,Android 5.0,Qualcomm 骁龙,,八核,,16GB ROM,3GB RAM,128GB,5.0英寸,"1920×1080(FHD,1080P)",1600万像素,800万像素,http://item.jd.com/2436155.html,联想 (Lenovo)Vibe Shot  Z90-3 16G 珍珠白 移动4G手机 双卡双待,联想手机官方旗舰店,1628
联想（Lenovo）,S850t,399.00,2014年,,安卓（Android）,Android 4.4,其他,MTK6582T,四核,,16GB ROM,1GB RAM,,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1185983.html,联想(Lenovo) S850T 16G 蜜桃粉 移动3G手机 双卡双待,联想手机官方旗舰店,10190
联想（Lenovo）,Lenovo  S898t+,449.00,2014年9月,,安卓（Android）,Android 4.2,联发科（MTK),MT6592V,八核,Mali 450-MP4,16GB ROM,2GB RAM,32GB,5.3英寸,"1280×720(HD,720P) ",1300万像素BSI-2摄像头,500万像素,http://item.jd.com/1218356.html,联想(Lenovo) 黄金斗士S8 (S898t+) 16G 钛金灰 移动3G手机 双卡双待,联想手机官方旗舰店,34531
联想（Lenovo）,A938t,599.00,2015年,2月,安卓（Android）,Android ,联发科（MTK),,八核,,8GB ROM,2GB RAM,32GB,6.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1334351.html,联想(Lenovo) 黄金斗士 Note8 (A938t) 移动增强版 融雪白 移动4G手机 双卡双待,联想手机官方旗舰店,12089
联想（Lenovo）,A3900,399.00,2015年,4月,安卓（Android）,Android 4.4,Marvell,marvell PXA 1920,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,480×854,500万像素,200万像素,http://item.jd.com/2009625.html,联想(Lenovo) A3900 8G 清新白 移动4G手机,联想手机官方旗舰店,603
联想（Lenovo）,MA388,279.00,2013年,,,无,无,,,,64MB ROM,,8GB,3.5英寸,320*480,30万像素,不支持,http://item.jd.com/883893.html,联想(Lenovo) MA388 老人手机 星夜黑 移动联通2G手机 双卡双待,联想手机官方旗舰店,53436
联想（Lenovo）,A6800,599.00,2015年,,安卓（Android）,Android 4.4,其他,Marvell PXA1928,四核,,16GB ROM,2GB RAM,,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/2023974.html,联想(Lenovo) A6800 香槟金 16G 移动4G手机 双卡双待,联想手机官方旗舰店,635
