品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
乐视（Letv）,X620,1099.00,2016年,4月,安卓（Android）,Android ,联发科（MTK),Helio X20,十核,,32GB ROM,3GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1600万像素,800万像素,http://item.jd.com/2707976.html,乐视（Le）乐2（X620）32GB 金色 移动联通电信4G手机 双卡双待,乐视手机旗舰店,92128
乐视,乐视Max X900+,1999.00,2015年,11月,安卓（Android）,EUI 5,Qualcomm 骁龙,810,八核,,64GB ROM,4GB RAM,,6.33英寸,2560×1440（2K）,2100万像素,400万像素,http://item.jd.com/2174114.html,乐视（Letv）乐Max（X900+）64GB 金色 移动联通电信4G手机 双卡双待,乐视手机旗舰店,19785
乐视（Letv）,X820,2099.00,2016年,4月,安卓（Android）,Android ,Qualcomm 骁龙,高通骁龙820(MSM8996),四核,,32GB ROM,4GB RAM,,5.7英寸,2560×1440（2K）,2100万像素,800万像素,http://item.jd.com/2712431.html,乐视（Le）乐Max2（X820) 金色 移动联通电信4G 双卡双待,乐视手机旗舰店,2415
乐视（Letv）,乐1S 太子妃版,1099.00,2016年,2月,安卓（Android）,EUI 5.5系统,联发科（MTK),联发科helio X10 Turbo 64位8核处理器,八核,,32GB ROM,3GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/2447521.html,乐视（Letv）乐1S 太子妃版 32GB 银色 移动联通4G手机 双卡双待,乐视手机旗舰店,228005
乐视（Letv),乐1（X608）,899.00,2015年,5月,安卓（Android）,EUI 5.0系统,联发科（MTK),MT6795,八核,,32GB ROM,3GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/2282737.html,乐视（Letv）乐1（X608）32GB 银白 移动4G手机 双卡双待,乐视手机旗舰店,74774
乐视（Letv）,X620,1299.00,2016年,,,Android ,联发科（MTK),,十核,,其它,,,5.5英寸,"1920×1080(FHD,1080P)",1600万像素,800万像素,http://item.jd.com/10326811442.html,乐视(Letv) 乐视2 4G手机 双卡双待 金色 全网通(3G RAM+32G ROM)标配,能良数码旗舰店,746
乐视（Letv）,X620,1299.00,2016年,4月,安卓（Android）,Android ,联发科（MTK),,十核,,32GB ROM,3GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1600万像素,800万像素,http://item.jd.com/10293618112.html,乐视（Letv）乐2（X620）乐视2 双卡双待手机 金色 全网通4G(3G RAM+32G ROM)标配,佳沪数码手机旗舰店,537
,X620,1299.00,2016年,4月,安卓（Android）,Android ,联发科（MTK),,十核,,32GB ROM,3GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1600万像素,800万像素,http://item.jd.com/10283417057.html,乐视（Letv）乐视2（X620）手机 金色 全网通4G(3G RAM+32G ROM) 标配,中恒国信手机旗舰店,718
,X620,1699.00,2016年,,安卓（Android）,Android ,联发科（MTK),,十核,,32GB ROM,4GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",2100万像素,800万像素,http://item.jd.com/10283550380.html,乐视（Letv）乐2 pro 全网通4g 智能手机 金色 (4G RAM+32G ROM) 标配版,中恒国信手机旗舰店,750
乐视（Letv）,Max2,2299.00,2016年,,,Android ,Qualcomm 骁龙,,,,32GB ROM,,,5.7英寸,2560×1440（2K）,2100万像素,800万像素,http://item.jd.com/10319548670.html,乐视(Letv) 乐视Max2 4G手机 双卡双待 金色 全网通(4G RAM+32G ROM)标配,能良数码旗舰店,108
