品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
LG,G5（H868）,4888.00,2016年,4月,安卓（Android）,Android 6.0,Qualcomm 骁龙,Qualcomm骁龙820,四核,Adreno 530,32GB ROM,4GB RAM,2TB,5.3英寸,2560×1440（2K）,1600万像素,800万像素,http://item.jd.com/2589808.html,LG G5（H868）冰月银 移动联通电信4G 双卡双待,LG手机旗舰店,2744
LG,V10(LG H968),4299.00,2015年,11月,安卓（Android）,Andriod 5.1,Qualcomm 骁龙,Qualcomm MSM8992,六核,,64GB ROM,4GB RAM,2TB,5.7英寸,2560×1440（2K）,1600万像素,双500万像素（120度广角，80度标准）,http://item.jd.com/2145652.html,LG V10（LG H968）玫金白 国际版 移动联通双4G手机 双卡双待,LG手机旗舰店,306
,FLEX2,2088.00,2015年,,安卓（Android）,Android 5.0,Qualcomm 骁龙,,八核,,16GB ROM,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,200万像素,http://item.jd.com/1953970668.html,LG G FLEX 2 弯曲屏 4G智能手机 黑色,数字创想科技（香港）专营店,22
,v10,3288.00,2015年,,,,其他,,,,32GB ROM,3GB RAM,,5.5英寸,2560×1440（2K）,1600万像素,800万像素,http://item.jd.com/1958057143.html,LG G4 DUAL 4G智能手机 32GB 双卡双待 皮质背盖 棕色,Kyushu Star专营店,7
LG,5X,2580.00,2015年,,安卓（Android）,其他,其他,,,,32GB ROM,2GB RAM,,5.2英寸,"1920×1080(FHD,1080P)",1200万像素,500万像素,http://item.jd.com/1955200342.html,LG Nexus 5X Google/谷歌 亲儿子 指纹识别安卓6.0 4G手机 32GB 碳黑色,量子科技专营店,4
,H815,2553.00,2015年,5月,安卓（Android）,,Qualcomm 骁龙,,六核,,32GB ROM,3GB RAM,2TB,5.5英寸,2560×1440（2K）,1600万像素,800万像素,http://item.jd.com/1959829496.html,【eBay精选】LG G4系列（H815）皮革黑 32GB 智能手机【新品】,imobileru,1
LG,XScreen,1899.00,2016年,5月,安卓（Android）,Android 6.0,Qualcomm 骁龙,,,,16GB ROM,2GB RAM,2TB,4.9英寸,"1280×720(HD,720P) ",1300万像素,800万像素,http://item.jd.com/1961425869.html,LG X-Screen 移动联通4G双卡双待智能手机双屏幕设计 港版16GB 白色,surepromise全球购旗舰店,0
LG,H635A,1772.00,2015年,5月,安卓（Android）,Android ,Qualcomm 骁龙,,四核,,8GB ROM,1GB RAM,,5.7英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1958368720.html,【eBay精选】LG G4 Stylus 无锁 两色可选 5.7寸屏 3G/4G 智能手机 白色,hkbns-global,1
,,1444.00,,,,,,,,,,,,,,,,http://item.jd.com/1956211314.html,【eBay精选】LG G3 Stylus 8GB 双卡智能手机 黑,hkbns-global,1
,,1438.00,,,,,,,,,,,,,,,,http://item.jd.com/1954127987.html,【eBay精选】LG G3 Stylus 8GB 白色 双卡智能手机,hkbns-global,0
