品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
魅族（MEIZU）,魅蓝metal,999.00,2015年,11月,,Flyme powered by YunOS,联发科（MTK),Helio X10,八核,G6200 550MHz,16GB ROM,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/2183784.html,魅族 魅蓝metal 16GB 白色 移动联通双4G手机 双卡双待,魅族手机旗舰店,118331
魅族（MEIZU）,MX5,1499.00,2015年,,,Flyme os,联发科（MTK),Helio X10 Turbo,八核,PowerVR G6200 MP2\/ 700Mhz,16GB ROM,3GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",2070万像素,500万像素,http://item.jd.com/1822038.html,魅族 MX5 16GB 灰色 移动联通双4G手机 双卡双待,魅族手机旗舰店,94988
魅族（MEIZU）,Note3,1459.00,2016年,4月,安卓（Android）,Android ,联发科（MTK),,,,其它,,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10239415101.html,魅族(MEIZU) 魅蓝note3 4G手机 双卡双待 银白 全网通(3G RAM+32G ROM)标配,能良数码旗舰店,4572
魅族（MEIZU）,note3,1099.00,2016年,4月,安卓（Android）,Android ,联发科（MTK),,八核,,其它,,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10253841826.html,魅族 魅蓝note3 全网通手机 银白 标准版(2G RAM+16G ROM)标配,佳沪数码手机旗舰店,4336
魅族（MEIZU）,魅蓝 note2,799.00,2015年,,,Flyme os,联发科（MTK),MT6753,八核,Mali 720 MP3 \/450MHz,16GB ROM,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/1979643.html,魅族 魅蓝note2 16GB 蓝色 移动4G手机 双卡双待,魅族手机旗舰店,544118
魅族（MEIZU）,note3,1099.00,2016年,4月,安卓（Android）,其他,联发科（MTK),,八核,,其它,,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10253337351.html,魅族(MEIZU)魅蓝note3手机 全网通4G 银色 全网通(2G RAM+16G ROM)标配,河北启迪手机专营店,2874
魅族（MEIZU）,PRO 5,2799.00,2015年,10月,,Flyme os,三星Exynos,Exynos7420,八核,Mali T760 图形处理器,32GB ROM,3GB RAM,128GB,5.7英寸,"1920×1080(FHD,1080P)",2116万像素,500万像素,http://item.jd.com/2069661.html,魅族 PRO5 32GB 银白色 移动联通双4G手机 双卡双待,魅族手机旗舰店,22608
,MX5,1539.00,2015年,,安卓（Android）,Flyme os,联发科（MTK),,八核,,其它,3GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",2070万像素,500万像素,http://item.jd.com/10063785065.html,魅族 MX5 双卡双待手机 银白 移动联通双4G(16G ROM),爱优创杰手机专营店,1436
魅族（MEIZU）,note3,1099.00,2016年,,,Android ,联发科（MTK),,八核,,16GB ROM,2GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10259603369.html,魅族 魅蓝note3 4G手机 双卡双待 银色 全网通(2G RAM+16G ROM)标配,牧申数码专营店,622
魅族（MEIZU）,note3,1095.00,2016年,4月,安卓（Android）,Android ,联发科（MTK),,八核,,其它,,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10255710863.html,魅族 魅蓝note3 4G手机 双卡双待 全网通 银白色 标配版(2G RAM+16G ROM),爱优创杰手机专营店,343
,MeilanNote3,1098.00,2016年,4月,安卓（Android）,Flyme os,联发科（MTK),,八核,,其它,,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10246656545.html,魅族MEIZU魅蓝note3手机全网通4G手机 银白色 标配版(2GRAM+16GROM),谷高数码手机专营店,324
魅族（MEIZU）,魅蓝 note2,799.00,2015,,,Flyme 4.5（基于Android 5.1）,联发科（MTK),MT6753,八核,Mali 720 MP3 \/450MHz,16GB ROM,2GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/1890725.html,魅族 魅蓝note2 16GB 白色 电信4G手机 双卡双待,魅族手机旗舰店,24195
,note3,1099.00,2016年,,安卓（Android）,Android ,联发科（MTK),,八核,,16GB ROM,2GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10254095303.html,魅族 魅蓝note3 全网通 4G手机 银白色 标配版(2G RAM+16G ROM)标配,新松联手机专营店,698
魅族（MEIZU）,Meilannote2,879.00,2015年,,安卓（Android）,Flyme os,联发科（MTK),,八核,,16GB ROM,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/1603366150.html,魅族 魅蓝note2  双卡双待手机 白色 移动联通双4G版 16G标配,佳沪数码手机旗舰店,10323
魅族（MEIZU）,metal,1199.00,2015年,10月,安卓（Android）,Flyme powered by YunOS,联发科（MTK),,八核,,其它,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10014548535.html,魅族(MEIZU) 魅蓝metal 4G手机 双卡双待 白色 移动/联通4G 32G 标配,能良数码旗舰店,6850
,note3,1099.00,2016年,,,其他,其他,,,,16GB ROM,2GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10253606208.html,魅族（MEIZU） 魅蓝note3 全网通 手机 银白 标配版(2G RAM+16G ROM)标配,中恒国信手机旗舰店,757
魅族（MEIZU）,PRO6,2799.00,2016年,,,Flyme os,联发科（MTK),,,,其它,4GB RAM,,5.2英寸,"1920×1080(FHD,1080P)",其他,500万像素,http://item.jd.com/10318716776.html,魅族 PRO6 全网通4G手机双卡双待 星空黑 标配版(4G RAM+32G ROM)标配,河北启迪手机专营店,130
魅族（MEIZU）,note3,1099.00,2016年,4月,安卓（Android）,Flyme os,联发科（MTK),,八核,,16GB ROM,2GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10255289401.html,魅族 魅蓝note3 移动联通电信4G全网通智能手机 双卡双待 银色 标准版(2G RAM+16G ROM)标配,鹏路网络手机专营店,292
,NOTE2,799.00,2015年,,安卓（Android）,Flyme os,联发科（MTK),,八核,,16GB ROM,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10051863226.html,魅族 魅蓝note2 16GB 双卡双待手机 白色 移动联通双4G版 标配,爱优创杰手机专营店,1297
魅族（MEIZU）,魅蓝 note2,699.00,2015,,,Flyme 4.5（基于Android 5.1）,联发科（MTK),MT6753,八核,Mali 720 MP3 \/450MHz,16GB ROM,2GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/1767971.html,【联通赠费版】魅族 魅蓝note2 16GB 蓝色 移动联通双4G手机 双卡双待,,236
魅族（MEIZU）,MX5,1699.00,2015年,,安卓（Android）,Flyme os,联发科（MTK),,八核,,其它,3GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",其他,500万像素,http://item.jd.com/10279886811.html,魅族 MX5 双卡双待手机 金色 新品 MX5e 双4G青春版 32G,佳沪数码手机旗舰店,4905
魅族（MEIZU）,metal,999.00,2015年,,,Flyme powered by YunOS,联发科（MTK),,,,其它,2GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10056719867.html,魅族 魅蓝metal 4G手机 双卡双待 金色 移动联通双4G(16G) 标准版,牧申数码专营店,1381
魅族（MEIZU）,note,699.00,2014年,,,Android ,其他,,八核,,其它,2GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/10076741252.html,魅族 魅蓝note 4G手机 双卡双待 绿色 移动4G(2G RAM +16G RAM) 标配,牧申数码专营店,1339
