品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
,650,1699.00,2016年,,微软（Windows phone）,其他,Qualcomm 骁龙,,四核,,16GB ROM,1GB RAM,,5.0英寸,"1280×720(HD,720P) ",800万像素,500万像素,http://item.jd.com/10283920382.html,微软(Microsoft) Lumia 650 移动联通双4G 双卡双待手机 白色 标配版,中恒国信手机旗舰店,1
诺基亚（NOKIA）,640XL,988.00,2015年,,微软（Windows phone）,其他,Qualcomm 骁龙,,四核,,8GB ROM,1GB RAM,128GB,5.7英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10283854306.html,微软(Microsoft) Lumia 640 / 640XL 移动联通双4G 双卡双待 橙色 640XL (1G RAM+8G ROM) 套餐版,中恒国信手机旗舰店,3
﻿品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
微软(Microsoft),Lumia 640 XL LTE DS (RM-1096),799.00,2015年,,微软（Windows phone）,含 Lumia Denim 的 Windows Phone 8.1,Qualcomm 骁龙,Qualcomm 骁龙 400,四核,,机身8G（因为系统文件和预装第三方程序等占用，消费者不能使用全部存储空间）,1GB RAM,128GB,5.7英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1439466.html,微软(Microsoft) Lumia 640XL LTE DS (RM-1096) 黑色 移动联通双4G手机 双卡双待,微软手机旗舰店,15818
微软(Microsoft),lumia950 DS ,2999.00,2015年,,,Windows 10 ,Qualcomm 骁龙,高通骁龙（Qualcomm Snapdragon ）808 ,6核,,32GB ROM,3GB RAM,2TB,5.2英寸,2560×1440（2K）,2000万像素,500万像素,http://item.jd.com/2197783.html,微软(Microsoft) Lumia 950 DS (RM-1118) 黑色 移动联通双4G手机 双卡双待,微软手机旗舰店,655
微软,lumia650,1699.00,2016年,,,软件版本 Windows 10,Qualcomm 骁龙,,四核,,16GB ROM,1GB RAM,200GB,5.0英寸,"1280×720(HD,720P) ",800万像素,500万像素,http://item.jd.com/2532415.html,微软(Microsoft) Lumia 650 (RM-1154) 黑色 移动联通双4G手机 双卡双待,微软手机旗舰店,513
,950XL,3582.00,2015年,,微软（Windows phone）,Windows Phone ,Qualcomm 骁龙,,八核,,32GB ROM,3GB RAM,2TB,5.7英寸,2560×1440（2K）,2000万像素,500万像素,http://item.jd.com/1957271207.html,【eBay精选】微软/Microsoft Lumia 950 XL 32G 白色 智能手机,bq_shop01,1
,950XL,3936.00,2015年,,微软（Windows phone）,Windows Phone ,Qualcomm 骁龙,,八核,,32GB ROM,3GB RAM,2TB,5.7英寸,2560×1440（2K）,2000万像素,500万像素,http://item.jd.com/1957267032.html,【eBay精选】微软/Microsoft Lumia 950 XL32GB 黑色 智能手机,bq_shop01,5
,RM1085,4699.00,2015年,12月,微软（Windows phone）,其他,其他,,八核,,32GB ROM,3GB RAM,,5.7英寸,2560×1440（2K）,1800万以上,500万像素,http://item.jd.com/1955771914.html,香港直邮 微软(Microsoft) Lumia 950 XL  手机 白色,量子科技专营店,2
,lumia,2799.00,2015年,12月,,其他,Qualcomm 骁龙,,八核,,32GB ROM,3GB RAM,,5.7英寸,2560×1440（2K）,2000万像素,500万像素,http://item.jd.com/1959180225.html,全球购 海外版 微软（Microsoft) 移动联通4G智能手机 Lumia 950 DS 黑色 32GB  单卡双4G 质保180天只换新,GIT通讯数码旗舰店,1
,,1249.00,,,,,,,,,,,,,,,,http://item.jd.com/1957270622.html,【eBay精选】微软/Microsoft Lumia 550 8GB 白色 4G智能手机,bq_shop01,0
,,1640.00,,,,,,,,,,,,,,,,http://item.jd.com/1957266964.html,【eBay精选】微软/Microsoft Lumia640 XL 8GB 黑色 智能手机,bq_shop01,0
,,3905.00,,,,,,,,,,,,,,,,http://item.jd.com/1957268318.html,【eBay精选】微软/Microsoft Lumia 950 XL 黑色带键盘 智能手机,bq_shop01,0
,,3292.00,,,,,,,,,,,,,,,,http://item.jd.com/1957269030.html,【eBay精选】微软/Microsoft Lumia 950 32G 白色 智能手机,bq_shop01,0
,,1199.00,,,,,,,,,,,,,,,,http://item.jd.com/1957269203.html,【eBay精选】微软/Microsoft Lumia 550 8GB 黑色 4G智能手机,bq_shop01,1
,,4181.00,,,,,,,,,,,,,,,,http://item.jd.com/1957269513.html,【eBay精选】微软/Microsoft Lumia 950 XL 白色带键盘 智能手机,bq_shop01,0
,,3292.00,,,,,,,,,,,,,,,,http://item.jd.com/1957271501.html,【eBay精选】微软/Microsoft Lumia 950 5.2寸32G 黑色智能手机,bq_shop01,0
,RM1085,4699.00,2015年,12月,微软（Windows phone）,其他,其他,,八核,,32GB ROM,3GB RAM,,5.7英寸,2560×1440（2K）,1800万以上,500万像素,http://item.jd.com/1959927662.html,微软(Microsoft) Lumia 950 XL  手机 黑色,Quantum海外专营店,0
