品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
摩托罗拉（Motorola）,XT1085,1199.00,2015年,2月,安卓（Android）,Android ,Qualcomm 骁龙,MSM8974AC,四核,Qualcomm Adreno330,16GB ROM,2GB RAM,,5.2英寸,"1920×1080(FHD,1080P)",1300万像素,200万像素,http://item.jd.com/1326692.html,摩托罗拉 moto x（x+1）(XT1085) 16GB 雅典黑 移动联通电信4G手机,摩托罗拉官方旗舰店,30470
摩托罗拉（Motorola）,XT1115,1999.00,2015年,3月,安卓（Android）,Android 5.0,Qualcomm 骁龙,Qualcomm 骁龙805 ,四核,Qualcomm Adreno 420,32GB ROM,3GB RAM,,5.96英寸,2560×1440（2K）,1300万像素，自带光学防抖,200万像素,http://item.jd.com/1398253.html,摩托罗拉 moto x pro(XT1115) 32GB 黑色 全网通4G手机,摩托罗拉官方旗舰店,3681
摩托罗拉（Motorola）,XT1570,2999.00,2015年,9月,安卓（Android）,Android 5.1.1,Qualcomm 骁龙,MSM8992,,高通 Adreno418,32GB ROM,3GB RAM,128GB,5.7英寸,2560×1440（2K）,2100万像素 SONY IMX 230,"500万像素 87度超大广角, 1.4um 像素更佳夜景效果",http://item.jd.com/1851300.html,摩托罗拉 Moto X Style (XT1570) 32GB 曜石黑 移动联通电信4G手机,摩托罗拉官方旗舰店,2603
摩托罗拉（Motorola）,XT1581,5288.00,2015年,12月,安卓（Android）,Android ,Qualcomm 骁龙,MSM8994,八核,Adreno 430  @ 600MHz,64GB ROM,3GB RAM,可扩展Micro SD卡 最大到2TB,5.4英寸,1440x2560 ,2100万像素,500万像素,http://item.jd.com/2223741.html,摩托罗拉 moto x 极( XT1581) 64GB 玛雅黑 移动联通电信4G手机,摩托罗拉官方旗舰店,262
摩托罗拉（Motorola）,Nexus6,2100.00,2014年,10月,,Android 5.0,其他,,,,32GB ROM,3GB RAM,,5.9英寸,其它,1300万像素,200万像素,http://item.jd.com/1958843340.html,【全球购】摩托罗拉 Google/谷歌 Nexus 6 N6 三网美版XT1103 午夜蓝 破解32G,魔力世界数码生活专营店,7
摩托罗拉（Motorola）,1103,2099.00,2015年,,安卓（Android）,Android 5.0,其他,,,,32GB ROM,,,5.9英寸,2560×1440（2K）,1300万像素,200万像素,http://item.jd.com/1958069637.html,摩托罗拉 Google 谷歌 Nexus 6 美国 N6 三网美版 XT1103 蓝色 32G破解版,花花总动员全球母婴专营店,2
摩托罗拉（Motorola）,XT1562,3688.00,2015年,,安卓（Android）,,Qualcomm 骁龙,,四核,,16GB ROM,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",2100万像素,500万像素,http://item.jd.com/1955636617.html,全球购 摩托罗拉 Moto X play XT1562 移动 联通 双卡 双4G智能手机 黑色 16GB,GIT通讯数码旗舰店,3
摩托罗拉（Motorola）,MT917,499.00,2011年,,,Android ,德州仪器,,双核,,16GB ROM,1GB RAM,32GB,4.5英寸,"1280×720(HD,720P) ",1300万像素,130万像素,http://item.jd.com/10358359363.html,摩托罗拉（Motorola）MT917 移动3G手机 黑色 标配,牧申数码专营店,0
,XT1557,1693.00,2015年,,安卓（Android）,Android ,Qualcomm 骁龙,,八核,,16GB ROM,2GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1958193919.html,【eBay精选】摩托罗拉 Moto G XT1557 4G双卡智能手机 G3升级版,t-dimension8,0
摩托罗拉（Motorola）,XT1085,1499.00,2015年,2月,安卓（Android）,Android 5.0,Qualcomm 骁龙,MSM8974AC,四核,Qualcomm Adreno330,32GB ROM,2GB RAM,,5.2英寸,"1920×1080(FHD,1080P)",1300万像素,200万像素,http://item.jd.com/1966357.html,【电信赠费版】摩托罗拉 moto x（x+1）(XT1085) 32GB 天然竹 全网通4G手机,,53
