品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
,V18,198.00,2016年,1月,,其他,联发科（MTK),,,,其它,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10120627473.html,纽曼 （Newman）V18 移动/联通2G 三防直板老人手机 橙色,东旭优品手机专营店,3581
纽曼（Newsmy）,S2,399.00,2014年,12月,,其他,其他,,双核,,8GB ROM,1GB RAM,32GB,5.0英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10121482240.html,纽曼(Newman)小纽扣S2手机 移动4G智能手机 金色,维库精品手机专营店,2621
,F516,268.00,2015年,10月,,无,联发科（MTK),,,,其它,,16GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10023551880.html,纽曼（Newman）F516 电信2G翻盖老人手机 金色,东旭优品手机专营店,4142
纽曼（Newsmy）,K3S,499.00,2016年,4月,安卓（Android）,其他,联发科（MTK),,,,8GB ROM,1GB RAM,32GB,5.0英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10314226207.html,纽曼（Newman）K3-S 移动联通双4G 智能手机 金色,诚信精品惠手机专营店,84
,C5,99.00,2016年,,,其他,其他,,,,其它,,8GB,1.77英寸,160*128,不支持,不支持,http://item.jd.com/10187017721.html,纽曼（Newman）C5 电信2G 老人手机 黑色 电信版,纽曼异维专卖店,828
纽曼（Newsmy）,V18,198.00,2016年,1月,,其他,其他,,,,其它,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10120082102.html,纽曼(Newman)V18老年机  移动/联通2G三防老人手机 橙色 老年版,维库精品手机专营店,507
,v9,198.00,2015年,1月,,其他,其他,,,,无,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1461032874.html,纽曼 （Newman） V9 移动/联通2G  翻盖老人手机 黑金,诚信精品惠手机专营店,7181
纽曼（Newsmy）,v18,198.00,2016年,1月,,其他,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10112521462.html,纽曼NewmanV18 移动/联通2G 双卡双待 路虎军工 三防电霸 老年手机 学生机 橙色,笑笑手机专营店,809
纽曼（Newsmy）,V5,79.00,2015年,1月,,其他,其他,,,,无,,4GB,1.8英寸,240*320,30万像素,不支持,http://item.jd.com/1460948507.html,纽曼（Newman）V5 移动/联通2G 老人手机 香槟金,诚信精品惠手机专营店,11204
纽曼（Newsmy）,C360,168.00,2014年,,,无,其他,,单核,,其它,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1205392280.html,纽曼C360电信版老人机 天翼2G老人手机 红色 电信版,维库精品手机专营店,4283
,D618,89.00,2015年,,,无,其他,,,,无,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1690956166.html,纽曼（Newman）D618 移动/联通2G 老人手机 金色,吉家祥园手机专营店,3071
