品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
纽曼（Newsmy）,V18,198.00,2016年,1月,,其他,其他,,,,其它,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10134440015.html,纽曼 （Newman）V18 移动/联通2G  双卡双待 三防直板老人手机 橙色,千瑞宏达手机专营店,89
纽曼（Newsmy）,c5,99.00,2016年,,,其他,其他,,,,其它,,,1.77英寸,160*128,不支持,不支持,http://item.jd.com/10221257584.html,纽曼（Newman）C5 电信2G 直板按键 老人手机 蓝色,众盛手机专营店,71
纽曼（Newsmy）,F516,268.00,2015年,,,其他,其他,,,,其它,,,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10186393454.html,纽曼（Newman）F516 电信翻盖老人手机 红色,千瑞宏达手机专营店,12
纽曼（Newsmy）,NewmanD1,198.00,2015年,,,其他,联发科（MTK),,,,32MB,64MB RAM,,1.54 英寸,128×128,不支持,不支持,http://item.jd.com/10079114745.html,纽曼（Newman）D1 移动/联通2G 直板卡片 学生老人手机 商务黑,众盛手机专营店,55
纽曼（Newsmy）,F516,268.00,2015年,9月,,其他,其他,,,,128MB ROM,32MB RAM,,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10010665503.html,纽曼（Newman）F516 电信2G翻盖老人手机 红色,林茂手机专营店,41
纽曼（Newsmy）,C360,168.00,2015年,,,无,其他,,,,其它,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10094265394.html,纽曼（Newman）C360 电信按键老人机 CDMA天翼2G 直板老人手机 金色,众盛手机专营店,17
纽曼（Newsmy）,S2,399.00,2015年,12月,安卓（Android）,Android 4.1,联发科（MTK),,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10249061073.html,纽曼(Newman)小纽扣S2 移动4G智能手机 白色,昕薇数码专营店,234
纽曼（Newsmy）,D618,99.00,2015年,,,无,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10094491361.html,纽曼（Newman）D618 移动/联通2G 直板老人手机 金色,众盛手机专营店,72
纽曼（Newsmy）,V18,198.00,2015年,,,无,其他,,,,无,32MB RAM,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1639283671.html,纽曼(Newman)V18 移动/联通2G 充电宝三防老人手机 橙色,昕薇数码专营店,108
纽曼（Newsmy）,F5156,268.00,2015年,,,无,其他,,,,其它,,,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10094130365.html,纽曼（Newman）F516 按键老人机 电信翻盖老人手机 金色,众盛手机专营店,41
纽曼（Newsmy）,K3S,499.00,2016年,4月,安卓（Android）,YunOS,联发科（MTK),,四核,,8GB ROM,1GB RAM,64GB,5.0英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10332834213.html,纽曼（Newman）K3-S 移动联通双4G 双卡双待 智能手机 金色,黑蜂手机专营店,1
,F516,268.00,2015年,,,无,其他,,,,无,,,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10110268312.html,纽曼F516 电信 天翼2G 双屏 大电池 翻盖 按键 老人手机 金色,黑蜂手机专营店,8
纽曼（Newsmy）,V18,198.00,2016年,1月,,无,其他,,,,无,32MB RAM,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10111205220.html,纽曼（Newman）V18 移动/联通2G 双卡双待 三防直板 按键老人手机 军绿色,众盛手机专营店,98
纽曼（Newsmy）,V9,198.00,2015年,1月,,其他,其他,,,,无,,8GB,4英寸以下,240*320,30万像素,不支持,http://item.jd.com/1785210149.html,纽曼 （Newman） V9 移动/联通2G 翻盖老人手机 黑金,林茂手机专营店,114
纽曼（Newsmy）,W2018,356.00,2015年,12月,,无,其他,,,,无,,16GB,3.5英寸,320*480,130万以下 ,不支持,http://item.jd.com/10120032953.html,纽曼（Newman）W2018 移动联通2G 翻盖老人手机,众盛手机专营店,0
纽曼（Newsmy）,V5,79.00,2015年,1月,,无,其他,,,,无,,4GB,4英寸以下,240*320,30万像素,不支持,http://item.jd.com/1229343824.html,纽曼（Newman）V5 移动/联通2G 老人手机 黑色,林茂手机专营店,2609
纽曼（Newsmy）,W2018,356.00,2015年,,,其他,联发科（MTK),,,,其它,,,3.5英寸,320*480,130万以下 ,不支持,http://item.jd.com/10165901036.html,纽曼（Newman）W2018移动/联通2G 翻盖老人手机 蓝金色,黑蜂手机专营店,0
,C360,168.00,2014年,,,其他,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10110304728.html,纽曼（Newman）C360 电信 CDMA 天翼2G 直板 按键 老人手机 金色,黑蜂手机专营店,5
纽曼（Newsmy）,V5,79.00,2015年,,,无,其他,,,,无,,,1.8英寸,240*320,30万像素,不支持,http://item.jd.com/10119937509.html,纽曼（Newman） V5 移动/联通2G 按键直板老人手机 红色,众盛手机专营店,15
纽曼（Newsmy）,V9,198.00,2015年,,,无,其他,,,,64MB ROM,,8GB,2.4英寸,240*320以下,30万像素,不支持,http://item.jd.com/1597271687.html,纽曼(Newman)V9移动/联通2G 翻盖老人手机 双卡双待老年机 黑金色,昕薇数码专营店,363
纽曼（Newsmy）,W2018,356.00,2015年,12月,,其他,其他,,,,其它,,8GB,3.5英寸,其它,200万像素,不支持,http://item.jd.com/10185657497.html,纽曼（Newman）W2018 移动/联通2G 翻盖老人手机 蓝金色,千瑞宏达手机专营店,9
