品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
诺基亚（NOKIA）,105,136.00,2015年,,,S30+,其他,,,,4MB，通讯录： 2000,,,1.4 英寸,128×128,不支持,不支持,http://item.jd.com/2122925.html,诺基亚(NOKIA) 105 (RM-1134) 黑色 移动联通2G手机,,152774
诺基亚（NOKIA）,215 DS,279.00,2015年,,,S30,其他,,,,无,,32GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1358269.html,诺基亚(NOKIA) 215 DS (RM-1110) 黑色 移动联通2G手机 双卡双待,,25620
诺基亚（NOKIA）,222 DS,279.00,2015年,,,S30+,其他,,,,16MB,,32GB,2.4英寸,240*320,200万像素,不支持,http://item.jd.com/2053857.html,诺基亚(NOKIA) 222 DS (RM-1136) 白色 移动联通2G手机 双卡双待,,7608
诺基亚（NOKIA）,225,359.00,2014年,,,软件版本： 30+ 系列,其他,,,,无,,32GB,2.8 英寸,240*320,200万像素,不支持,http://item.jd.com/1134253.html,诺基亚(NOKIA) 225 (RM-1126) 红色 移动联通2G手机 双卡双待,,47270
诺基亚（NOKIA）,130,189.00,2014年,,,其他,其他,,,,无,,32GB,1.8英寸,160*128,不支持,不支持,http://item.jd.com/1226359.html,诺基亚(NOKIA) 130 (RM-1122) 黑色 移动联通2G手机 双卡双待,,59663
诺基亚（NOKIA）,130,198.00,2014年,,,其他,其他,,,,其它,,,1.8英寸,160*128,不支持,不支持,http://item.jd.com/10281179972.html,诺基亚(NOKIA)130 (RM-1122) 移动联通2G手机 双卡双待 黑色,中恒国信手机旗舰店,123
诺基亚（NOKIA）,222,298.00,2015年,,,其他,其他,,,,其它,,32GB,2.4英寸,240*320,200万像素,不支持,http://item.jd.com/10296391767.html,诺基亚(NOKIA)222 移动联通2G 双卡双待手机 白色,中恒国信手机旗舰店,45
诺基亚（NOKIA）,1050,182.00,2013年,,,其他,其他,,,,其它,,,其它,128×128,不支持,不支持,http://item.jd.com/10205255412.html,诺基亚(NOKIA) 1050 移动联通2G手机 红色 标配版,中恒国信手机旗舰店,138
,105,158.00,2015年,,,S30,其他,,,,其它,,,其它,128×128,不支持,不支持,http://item.jd.com/10296412607.html,诺基亚(NOKIA)105 移动联通2G手机 黑色,中恒国信手机旗舰店,101
诺基亚（NOKIA）,215,279.00,2015年,,,S30,其他,,,,64MB ROM,,32GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10296414211.html,诺基亚(NOKIA)215 DS (RM-1110)  移动联通2G手机 双卡双待 黑色,中恒国信手机旗舰店,11
诺基亚（NOKIA）,130,198.00,2014年,,,其他,其他,,,,无,,,1.8英寸,160*128,不支持,不支持,http://item.jd.com/10194476243.html,诺基亚(NOKIA) 130 (RM-1122)  移动联通2G手机 双卡双待 黑色 标配版,河北启迪手机专营店,73
诺基亚（NOKIA）,106,205.00,2013年,,,S30,其他,,,,64MB ROM,,,1.8英寸,160*128,不支持,不支持,http://item.jd.com/10296424937.html,诺基亚(NOKIA)106 移动联通2G手机 黑色,中恒国信手机旗舰店,12
诺基亚（NOKIA）,108,218.00,2013年,,,其他,其他,,,,其它,,32GB,1.8英寸,160*128,30万像素,不支持,http://item.jd.com/10296437557.html,诺基亚(NOKIA) 108 (RM-1124) 移动联通2G手机 双卡双待 白色,中恒国信手机旗舰店,60
诺基亚（NOKIA）,225,398.00,2014年,,,其他,其他,,,,无,,,2.8英寸,240*320,200万像素,不支持,http://item.jd.com/10367419720.html,诺基亚(NOKIA)225 移动联通2G 手机 红色,河北启迪手机专营店,0
诺基亚（NOKIA）,215DS,239.00,2015年,,,其他,其他,,,,64MB ROM,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10367440671.html,诺基亚(NOKIA)215 DS (RM-1110) 移动联通2G手机 绿色,河北启迪手机专营店,0
诺基亚（NOKIA）,106,205.00,2013年,,,S30,其他,,,,64MB ROM,,,1.8英寸,160*128,不支持,不支持,http://item.jd.com/10367463658.html,诺基亚(NOKIA)106 移动联通2G手机 黑色,河北启迪手机专营店,0
诺基亚（NOKIA）,105,157.00,2015年,,,其他,其他,,,,其它,,,其它,128×128,不支持,不支持,http://item.jd.com/10367497236.html,诺基亚(NOKIA)105 移动联通2G 蓝色,河北启迪手机专营店,0
诺基亚（NOKIA）,222,298.00,2015年,,,其他,其他,,,,其它,,,2.4英寸,240*320,200万像素,不支持,http://item.jd.com/10367520847.html,诺基亚(NOKIA)222 移动联通2G 双卡双待手机 白色,河北启迪手机专营店,0
