品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
努比亚（nubia）,nubia Z9 mini精英版（NX511J_V3）,1299.00,2015年,10月,,nubia UI 3.5 （基于Android L\/5.1）,Qualcomm 骁龙,高通骁龙615处理器,八核,,16GB ROM,3GB RAM,128GB,5.0英寸,"1920×1080(FHD,1080P)",1600万堆栈式BSI主摄像头,800万BSI前置摄像头,http://item.jd.com/2086336.html,努比亚（nubia）小牛4 Z9mini精英版 黑色 移动联通电信4G手机 双卡双待,努比亚手机旗舰店,22082
努比亚（nubia）,nubia Z9 Max （NX512J）,1099.00,2015年,,,nubia UI 2.8（基于Android L\/5.0）,Qualcomm 骁龙,高通MSM8939(骁龙615),八核,Adreno 405,16GB ROM,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1600万像素,800万像素,http://item.jd.com/1901836.html,努比亚（nubia）大牛 Z9 Max 黑色 移动联通4G手机 双卡双待,努比亚手机旗舰店,49860
努比亚（nubia）,nubia Z9（NX508J）,2199.00,2015年,5月,,nubia UI3.0（基于Android L\/5.0）,Qualcomm 骁龙,Qualcomm骁龙810,八核,,32GB ROM,3GB RAM,,5.2英寸,"1920×1080(FHD,1080P)",1600万光学防抖堆栈式BSI主摄像头,800万BSI前置摄像头,http://item.jd.com/2358015.html,努比亚（nubia）Z9全黑 急速版 移动联通电信4G 智能手机（电信4G+)双卡双待,努比亚手机旗舰店,18500
努比亚（nubia）,nubia My 布拉格 （NX513J）,1499.00,2015年,7月,安卓（Android）,nubia UI 3.0（基于Android L\/5.0）,Qualcomm 骁龙,高通骁龙615处理器,八核,,16GB ROM,2GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/1717196.html,努比亚（nubia）My 布拉格  银白  移动联通4G手机 双卡双待,努比亚手机旗舰店,13162
努比亚（nubia）,nubia My 布拉格S （NX513J）,2199.00,2016年,1月,安卓（Android）,nubia UI 3.0（基于Android L\/5.0）,Qualcomm 骁龙,高通骁龙615处理器,八核,,64GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/2329029.html,努比亚（nubia）布拉格S 皓月银 移动联通电信4G手机 双卡双待,努比亚手机旗舰店,741
努比亚（nubia）,nubia Z9 mini（NX511J）,1299.00,2015年,3月,,nubia UI 2.8 （基于Android L\/5.0）,Qualcomm 骁龙,高通骁龙615处理器,八核,,16GB ROM,2GB RAM,128GB,5.0英寸,"1920×1080(FHD,1080P)",1600万堆栈式BSI主摄像头,800万BSI前置摄像头,http://item.jd.com/1413846.html,努比亚（nubia）小牛4 Z9mini 黑色 移动联通电信4G手机 双卡双待,努比亚手机旗舰店,170462
努比亚（nubia）,nubia,1799.00,2015年,,,Android ,Qualcomm 骁龙,,八核,,其它,,128GB,5.2英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/10099528770.html,努比亚(nubia) My 布拉格 全网通4G手机 双卡双待 前白后金  精英金版(3GB RAM+32GB ROM) 标配,牧申数码专营店,268
努比亚（nubia）,bulage,1499.00,2015年,,,Android ,Qualcomm 骁龙,,八核,,其它,,,5.2英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/10184799872.html,努比亚(nubia) 布拉格 4G手机 双卡双待 My布拉格(玫瑰金) 全网通版(2GB RAM+16GB ROM) 标配,能良数码旗舰店,25
努比亚（nubia）,NX513J,1799.00,2015年,7月,安卓（Android）,其他,Qualcomm 骁龙,,八核,,其它,,128GB,5.2英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/10031239529.html,努比亚 布拉格 全网通4G手机 前白后金 精英版(32G) 标配版,佳沪数码手机旗舰店,249
努比亚（nubia）,NX506J,1299.00,2014年,,,Android ,Qualcomm 骁龙,,,,32GB ROM,3GB RAM,,5.5英寸,2560×1440（2K）,1300万像素,500万像素,http://item.jd.com/10195809256.html,努比亚（nubia）Z7 移动联通4G手机 双卡双待  前黑后白  标配版,牧申数码专营店,46
,,1499.00,,,,,,,,,,,,,,,,http://item.jd.com/2882958.html,【联通赠费版】努比亚（nubia）小牛5 Z11mini 黑色 移动联通电信4G手机 双卡双待,,8
努比亚（nubia）,NX513J,2199.00,2016年,3月,,Android ,Qualcomm 骁龙,,八核,,64GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/10299105999.html,努比亚（nubia）布拉格S 4G手机 双卡双待 玫瑰金 全网通4G标配版,牧申数码专营店,7
,,1499.00,,,,,,,,,,,,,,,,http://item.jd.com/2882978.html,【电信赠费版】努比亚（nubia）小牛5 Z11mini 黑色 移动联通电信4G手机 双卡双待,,10
努比亚（nubia）,nubia Z11mini（NX529J）,1499.00,2016年,4月,安卓（Android）,Android 5.1,Qualcomm 骁龙,高通骁龙  八核64位处理器,八核,,64GB ROM,3GB RAM,,5.0英寸,"1920×1080(FHD,1080P)",1600万像素,800万像素,http://item.jd.com/2882956.html,【电信赠费版】努比亚（nubia）小牛5 Z11mini 白色 移动联通电信4G手机 双卡双待,,5
