品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
OPPO ,R9tm,2799.00,2016年,3月,安卓（Android）,Android 5.1,联发科（MTK),MT6755,八核,,64GB ROM,4GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,1600万像素,http://item.jd.com/2473905.html,OPPO R9 4GB+64GB内存版 玫瑰金 全网通4G手机 双卡双待,OPPO手机官方旗舰店,37711
OPPO,A33,999.00,2015年,11月,安卓（Android）,基于Android 5.1开发的ColorOS 2.1,Qualcomm 骁龙,MSM8916,四核,,16GB ROM,2GB RAM,128GB,5.0英寸,960×540(QHD),800万像素,500万像素,http://item.jd.com/2022008.html,OPPO A33 2GB+16GB内存版 白色 移动4G手机,OPPO手机官方旗舰店,7730
OPPO ,A53,1799.00,2015年,,,Andriod 5.1,Qualcomm 骁龙,MSM8939,八核,,16GB ROM,2GB RAM,128GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/2288583.html,OPPO A53 2GB+16GB内存版 金色 全网通4G手机,OPPO手机官方旗舰店,4903
OPPO,A31,799.00,2015年,,安卓（Android）,Android 4.4ColorOS,Qualcomm 骁龙,MSM8916,四核,,16GB ROM,1GB RAM,128GB,4.5英寸,854×480,800万像素,200万像素,http://item.jd.com/2212642.html,OPPO A31 1GB+16GB内存版 白色 移动4G手机,OPPO手机官方旗舰店,4584
OPPO,R7S,2599.00,2015年,10月,安卓（Android）,基于Android 5.1开发的ColorOS 2.1,Qualcomm 骁龙,MSM8939,八核,,32GB ROM,4GB RAM,128GB,5.5英寸,1920*1080,1300万像素,800万像素,http://item.jd.com/2125419.html,OPPO R7S 4GB+32GB内存版 金色 全网通4G手机,OPPO手机官方旗舰店,34320
OPPO,R7s Plus,3299.00,2015年,12月,安卓（Android）,Color OS2.1\/Android5.1,Qualcomm 骁龙,MSM8939,八核,,64GB ROM,4GB RAM,,6.0英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/2206423.html,OPPO R7Plus 4GB+64GB内存版 金色 全网通4G手机,OPPO手机官方旗舰店,25197
OPPO ,R9tm,2799.00,2016年,3月,安卓（Android）,Andriod 5.1,联发科（MTK),MT6755,八核,,64GB ROM,4GB RAM,128GB,5.5英寸,1920*1080,1300万像素,1600万像素,http://item.jd.com/2528407.html,【电信赠费版】OPPO R9 4GB+64GB内存版 玫瑰金 全网通4G手机 双卡双待,,24
OPPO ,R9plustm,3299.00,2016年,4月,安卓（Android）,Andriod 5.1,Qualcomm 骁龙,MSM8976,八核,,64GB ROM,4GB RAM,128GB,6.0英寸,1920*1080,1600万像素,1600万像素,http://item.jd.com/2698178.html,【电信赠费版】OPPO R9plus 4GB+64GB内存版 金色 全网通4G手机 双卡双待,,5
,R9,2988.00,2016年,,,Android ,联发科（MTK),,,,64GB ROM,4GB RAM,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,1600万像素,http://item.jd.com/1959959910.html,全球购 OPPO R9 全网通4G手机 双卡双待 金色全网通  质保180天只换新+官方一年保修,GIT通讯数码旗舰店,2
,R7s,2688.00,2015年,,,Android ,Qualcomm 骁龙,,,,32GB ROM,4GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,其它,http://item.jd.com/1959917464.html,全球购 OPPO R7s 长续航闪充 大屏拍照 移动4G手机 4GB+32GB 全网通 玫瑰金全网通 32GB 标配 质保180天只换新+官方一年保修,GIT通讯数码旗舰店,0
,R7Plus,2888.00,2015年,,,Android ,其他,,,,64GB ROM,4GB RAM,128GB,6.0英寸,"1920×1080(FHD,1080P)",1300万像素,其它,http://item.jd.com/1959926383.html,全球购 OPPO R7s Plus 6.0英寸 闪充大屏拍照 智能大屏手机 金色全网通 64GB标配 质保180天只换新+官方一年保修,GIT通讯数码旗舰店,0
,R9plus,3488.00,2016年,,,其他,其他,,,,64GB ROM,,,6.0英寸,"1920×1080(FHD,1080P)",1600万像素,其它,http://item.jd.com/1962432767.html,全球购 OPPO R9PLUS 双卡双待 4G手机 玫瑰金全网通,FUSTAR数码专营店,0
,R9PLUS,3788.00,2016年,,,Android ,Qualcomm 骁龙,,,,64GB ROM,4GB RAM,,6.0英寸,"1920×1080(FHD,1080P)",1600万像素,1600万像素,http://item.jd.com/1962575250.html,全球购 OPPO R9PLUS  双卡双待 4G手机 全网通 金色全网通 128GB,GIT通讯数码旗舰店,0
