品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
飞利浦（PHILIPS）,E103,99.00,2015年,9月,,其他,其他,,,,32M,,16GB,1.7英寸,128*160,130万以下 ,不支持,http://item.jd.com/1945514.html,飞利浦 （E103） 陨石黑 移动联通2G手机 双卡双待,,6783
飞利浦（PHILIPS）,E132X,219.00,2016年,3月,,其他,其他,,,,其它,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10324596422.html,飞利浦(PHILIPS)E132X 移动/联通2G老人手机 香槟金,东旭优品手机专营店,224
飞利浦（PHILIPS）,E350,419.00,2015年,5月,,其他,其他,,,,128MB ROM,64MB RAM,16GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/1592994.html,飞利浦 老人手机 (E350) 尊爵黑 移动联通2G手机 双卡双待,,3407
飞利浦（PHILIPS）,E380,799.00,2015年,,,其他,其他,,,,其它,,16GB,其它,320*480,200万像素,不支持,http://item.jd.com/1858981.html,飞利浦 （E380） 夜光黑 移动联通2G手机 双卡双待,,637
飞利浦（PHILIPS）,I999,1699.00,2015年,6月,安卓（Android）,Android ,Qualcomm 骁龙,MSM8974AC,四核,Adreno(TM)330,32GB ROM,3GB RAM,,5.5英寸,2560×1440（2K）,2070万像素,800万像素,http://item.jd.com/1660091.html,飞利浦 (I999) 黑色 移动联通4G手机,,378
飞利浦（PHILIPS）,V989,2699.00,2014年,12月,安卓（Android）,Android 4.4,联发科（MTK),MT6732,64位4核,,32GB ROM,2GB RAM,,3.7英寸,1280×768,1300万像素,500万像素,http://item.jd.com/1297596.html,飞利浦 (V989) 尊爵黑 移动联通4G手机 双卡双待,,519
飞利浦（PHILIPS）,V526,699.00,2015年,9月,安卓（Android）,Android ,联发科（MTK),MT6735,四核,Mali-T720,8GB ROM,1GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,200万像素,http://item.jd.com/1984558.html,飞利浦 V526 海军蓝 移动联通双4G手机 双卡双待,,358
,131,199.00,2016年,,,其他,其他,,,,32MB,32MB RAM,8GB,2.4英寸,240*320,8万像素,不支持,http://item.jd.com/10176439829.html,飞利浦 (E131X)  移动联通2G老人手机 双卡双待 珠峰白,远帆洋手机专营店,1091
飞利浦（PHILIPS）,E330,439.00,2015年,12月,,其他,其他,,,,64Mb,64Mb,,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/2288950.html,飞利浦 （E330） 陨石黑 移动联通2G手机 双卡双待,,443
飞利浦（PHILIPS）,E180,329.00,2014年,12月,,无,其他,,,,128Mb ROM,64Mb RAM,32GB,2.4英寸,240*320,不支持,不支持,http://item.jd.com/1312327.html,飞利浦 (E180) 经典黑 移动联通2G手机 双卡双待,,4760
