品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
三星（SAMSUNG）,G9350,5688.00,2016年,3月,安卓（Android）,Android 6.0,Qualcomm,骁龙820,四核,Adreno 530,32GB ROM,4GB RAM,200GB,5.5英寸,2560 x1440,1200万像素,500万像素,http://item.jd.com/2385655.html,三星 Galaxy S7 edge（G9350）32G版 铂光金移动联通电信4G手机 双卡双待 骁龙820手机,三星手机旗舰店,28022
三星（SAMSUNG）,N9100,2199.00,2014年,9月,安卓（Android）,Android 5.0,Qualcomm 骁龙,,四核,,16GB ROM,3GB RAM,128GB,5.7英寸,2560×1440（2K）,1600万像素,370万像素,http://item.jd.com/1220064.html,三星 Galaxy Note4 (N9100) 幻影白 移动联通4G手机 双卡双待,三星手机旗舰店,50727
三星（SAMSUNG）,A9100,2999.00,2016年,3月,安卓（Android）,Android | 6.0,Qualcomm,MSM8976,八核,Adreno 510,32GB ROM,4GB RAM,128GB,6.0英寸,1920 x1080,1600万像素,800万像素,http://item.jd.com/2569127.html,三星 Galaxy A9 (SM-A9100) 魔幻金 全网通4G手机 双卡双待,三星手机旗舰店,12385
三星（SAMSUNG）,SM-G5500,749.00,2015年,,,Andriod 5.1,三星,Exynos 3475,四核,,8GB ROM,1.5GB,128GB,5.0英寸,"1280×720(HD,720P) ",800万像素,500万像素,http://item.jd.com/2051054.html,三星 Galaxy On5（G5500）金色 移动联通4G手机 ,三星手机旗舰店,6792
三星（SAMSUNG）,Galaxy A8  (A8000),2299.00,2015年,7月,安卓（Android）,Andriod 5.1,高通,MSM8939,八核,,32GB ROM,2GB RAM,128GB,5.7英寸,1920 x 1080(FHD),1600万像素,500万像素,http://item.jd.com/1708185.html,三星 Galaxy A8（A8000）32G版 雪域白 移动联通电信4G手机 双卡双待,三星手机旗舰店,16315
三星（SAMSUNG）,Galaxy S6 Edge+（G9280）,4688.00,2015年,8月,安卓（Android）,android 5.1,三星Exynos,Exynos7420,八核,,32GB ROM,4GB RAM,,5.7英寸,2560×1440（2K）,1600万像素,500万像素,http://item.jd.com/1750523.html,三星 Galaxy S6 Edge+（G9280）32G版 铂光金 全网通4G手机,三星手机旗舰店,14961
三星（SAMSUNG）,SM-G6000ZDECHC,1348.00,2015年,11月,安卓（Android）,Android 5.1,Qualcomm 骁龙,MSM8916,,四核,16GB ROM,2GB RAM,128GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/2465235.html,三星 Galaxy On7（G6000）昂小七 高配版 金色 全网通4G手机 双卡双待,三星手机旗舰店,25240
三星（SAMSUNG）,Galaxy S6（G9200）,3688.00,2015年,4月,安卓（Android）,Android 5.0,三星Exynos,Exynos7420,八核,,32GB ROM,3GB RAM,,5.1英寸,2560×1440（2K）,1600万像素,500万像素,http://item.jd.com/1411053.html,三星 Galaxy S6（G9200）32G版 铂光金 移动联通电信4G手机 双卡双待,三星手机旗舰店,30821
三星（SAMSUNG）,SM-A7000,1699.00,2015年,1月,安卓（Android）,Android 4.4,Qualcomm 骁龙,MSM8939,,,16GB ROM,2GB RAM,64GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/1385679.html,三星 Galaxy A7 (SM-A7000) 魔幻金 移动联通4G手机 双卡双待,三星手机旗舰店,30684
三星（SAMSUNG）,N9108V,2180.00,2014年,9月,安卓（Android）,Android 4.4,Qualcomm 骁龙,,四核,,16GB ROM,3GB RAM,128GB,5.7英寸,2560×1440（2K）,1600万像素,370万像素,http://item.jd.com/1220052.html,三星 Galaxy Note4 (N9108V) 雅墨黑 移动4G手机,三星手机旗舰店,22141
