品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
索尼（SONY）,L55t,2499.00,2014年,9月,安卓（Android）,Android 4.4,Qualcomm 骁龙,,四核,,16GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,200万像素,http://item.jd.com/1672990795.html,索尼(SONY) l55t Xperia Z3 索尼Z3 三防移动4G手机 春雪白,索尼手机旗舰店,3989
索尼（SONY）,E6883,5499.00,2015年,10月,安卓（Android）,Android 5.1,Qualcomm 骁龙,,八核,,32GB ROM,3GB RAM,,5.5英寸,3840*2160,2300万像素,500万像素,http://item.jd.com/1816276354.html,索尼(SONY) E6883 Xperia Z5尊享版 移动联通双4G 指纹解锁 镜像银,索尼手机旗舰店,1967
索尼（SONY）,E6683,4799.00,2015年,12月,安卓（Android）,Android 5.1,Qualcomm 骁龙,,,,32GB ROM,3GB RAM,,5.2英寸,"1920×1080(FHD,1080P)",2300万像素,500万像素,http://item.jd.com/10065260353.html,索尼(SONY)Xperia Z5 E6683 索尼z5 移动联通双4G 双卡手机 青川绿,索尼手机旗舰店,824
,E6683,3399.00,2015年,,,Android 5.0,其他,,,,32GB ROM,,,5.2英寸,其它,其他,500万像素,http://item.jd.com/1956062927.html,Sony/索尼 Xperia Z5 Dual E6683智能手机 双4G防水防尘 绿色,Kyushu Star专营店,190
索尼（SONY）,Z5,3929.00,2015年,11月,安卓（Android）,Android ,其他,,,,其它,,,5.5英寸,其它,2300万像素,500万像素,http://item.jd.com/1955179991.html,全球购 SONY(索尼）Xperia Z5 Premium 尊享版 E6883 4K 港行 镜像银 32G 联通移动 双卡双4G 智能手机,FUSTAR数码专营店,163
,e6533,3799.00,2015年,6月,安卓（Android）,Android 5.0,Qualcomm 骁龙,,八核,,32GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,500万像素,http://item.jd.com/1673109942.html,索尼(SONY)Xperia Z3+ E6533  防水防尘 移动联通双4G手机 黛丽黑,索尼手机旗舰店,980
,E6533,2698.00,2015年,,,Android 5.0,其他,,,,32GB ROM,,,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,500万像素,http://item.jd.com/1956061646.html,索尼 SONY Xperia Z3+ E6533 E6553 防水防尘 正品 绿色 Z3+E6533 双4G版 双卡,Kyushu Star专营店,210
,E6883,3939.00,2015年,,,其他,其他,,,,32GB ROM,,,其它,其它,2300万像素,500万像素,http://item.jd.com/1956282669.html,Sony/索尼 E6883 Xperia Z5 Premium尊享版 4K屏幕 指纹解锁 镜像银,Kyushu Star专营店,51
索尼（SONY）,Z5,3299.00,2015年,,安卓（Android）,Android 5.0,Qualcomm 骁龙,,八核,,32GB ROM,3GB RAM,128GB,5.2英寸,其它,2300万像素,500万像素,http://item.jd.com/1953969195.html,Sony/索尼 Xperia Z5 Dual E6683 双卡双待 4G智能手机 防水防尘 青田绿,数字创想科技（香港）专营店,139
,D6683,2299.00,2015年,,,Android 5.0,其他,,,,16GB ROM,,,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,200万像素,http://item.jd.com/1956062943.html,索尼 SONY D6683 Z3  智能手机 双卡 移动联通双4G 防水防尘 金色 双卡,Kyushu Star专营店,36
,E5823,2968.00,2015年,,,,其他,,,,32GB ROM,2GB RAM,,4.7英寸,1080×720 ,其他,500万像素,http://item.jd.com/1956059944.html,SONY/索尼 Xperia Z5 迷你 compact E5823 智能手机 国际版 黑色,Kyushu Star专营店,54
,Z5,3349.00,2015年,10月,安卓（Android）,Android 5.0,其他,,八核,,32GB ROM,3GB RAM,,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,500万像素,http://item.jd.com/1955563890.html,全球购 索尼(SONY）Xperia Z5 Dual E6683 双卡 港行 32GB 无垠黑,FUSTAR数码专营店,68
索尼（SONY）,E6883,3899.00,2015年,,安卓（Android）,Android 5.0,Qualcomm 骁龙,,八核,,32GB ROM,3GB RAM,,5.5英寸,其它,2300万像素,其它,http://item.jd.com/1954848759.html,Sony/索尼 E6883 Xperia Z5 Premium 尊享版 4K屏幕 Z5P 幻影黑 7311271542063,数字创想科技（香港）专营店,17
,Z5,2918.00,2015年,,,,其他,,,,2GB ROM,,,4.7英寸,1080×720 ,2070万像素,500万像素,http://item.jd.com/1955787076.html,全球购 SONY(索尼）Xperia  Z5 迷你 compact  E5823 港行 黑色 32G 单卡 联通4G 智能手机,FUSTAR数码专营店,31
,,2924.00,,,,,,,,,,,,,,,,http://item.jd.com/1957270405.html,【eBay精选】索尼/Sony Xperia Z5 Compact 32G珊瑚红 智能手机,bq_shop01,4
,E6533,2251.00,2015年,6月,安卓（Android）,Android 5.0,Qualcomm 骁龙,,双四核,,32GB ROM,3GB RAM,128GB,5.2英寸,2560×1440（2K）,2070万像素,500万像素,http://item.jd.com/1955055504.html,【eBay精选】索尼/Sony Xperia Z3＋ E6533 S6935 4G智能手机,t-dimension8,3
索尼（SONY）,Z3,2249.00,2015年,,安卓（Android）,Android 5.0,其他,,,,16GB ROM,,,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,200万像素,http://item.jd.com/1958232670.html,全球购 索尼（sony）Z3 D6683 港行 智能手机 双卡移动联通双4G 黑色,FUSTAR数码专营店,2
索尼爱立信（Sony Ericsson）,Z3,2828.00,2015年,,,Android 5.0,其他,,八核,,32GB ROM,3GB RAM,,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,500万像素,http://item.jd.com/1957327810.html,全球购 SONY（索尼）E6533 Z3+ 双卡双待 移动联通智能手机 月夜黑,香港智诚博扬专营店,16
,z3,2399.00,2015年,,安卓（Android）,Android 5.0,其他,,,,16GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",1800万以上,200万像素,http://item.jd.com/1954180300.html,全球购 索尼手机 Z3 D6683 港行正品 SONY手机 黛丽黑,量子科技专营店,9
,z5mini,2758.00,2015年,,,Andriod 5.1,其他,,,,2GB ROM,,,4.7英寸,1080×720 ,2070万像素,500万像素,http://item.jd.com/1958498072.html,全球购 SONY(索尼）Z5 迷你 compact E5823 32G单卡联通4G智能手机 黄色,香港智诚博扬专营店,5
索尼（SONY）,z5,3299.00,2015年,10月,安卓（Android）,Android ,其他,,八核,,32GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,500万像素,http://item.jd.com/1954175538.html,Sony/索尼Xperia Z5 Dual E6683指纹解锁 双卡双待智能4G手机 银色,量子科技专营店,28
,Z3,2698.00,2015年,,,Android 5.0,其他,,,,32GB ROM,,,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,500万像素,http://item.jd.com/1957574591.html,索尼 SONY Xperia Z3+ E6533 双卡双4G手机 防水防尘 皎月白,FUSTAR数码专营店,8
,E6533,2257.00,2015年,6月,安卓（Android）,Android 5.0,Qualcomm 骁龙,,双四核,,32GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,800万像素,http://item.jd.com/1955054707.html,【eBay精选】索尼/Sony Xperia Z3＋ E6533 S6938 4G智能手机,t-dimension8,2
,SONY,3868.00,2015年,,,其他,其他,,,,32GB ROM,,,5.5英寸,1024*768,1800万以上,500万像素,http://item.jd.com/1959463457.html,SONY(索尼）Xperia Z5 E6883 Premium 尊享版 4K屏 港 黑色,Quantum海外专营店,0
,D6503,1799.00,2014年,,,Android ,其他,,,,其它,,,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,210万像素,http://item.jd.com/1957445904.html,全球购 SONY(索尼）Xperia Z2 D6503 港行 智能手机 单卡手机 黑色 16G,FUSTAR数码专营店,6
索尼（SONY）,z5,2988.00,2015年,,,Android ,Qualcomm 骁龙,,,,32GB ROM,,,4.7英寸,1080×720 ,2070万像素,500万像素,http://item.jd.com/1953767906.html,全球购 海外版 SONY(索尼）Z5 迷你 compact 单卡 联通4G 智能手机 白色 E5823 32GB 质保180天只换新,GIT通讯数码旗舰店,22
,E6533,2881.00,2015年,6月,安卓（Android）,Android 5.0,Qualcomm 骁龙,,双四核,,32GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,800万像素,http://item.jd.com/1958326106.html,【eBay精选】索尼SONY Xperia Z3+ 双4G 32GB E6533 港行手机 香槟金,hkbns-global,5
,,2718.00,,,,,,,,,,,,,,,,http://item.jd.com/1957265321.html,【eBay精选】索尼/Sony Xperia Z5 Compact  32G 白色智能手机,bq_shop01,1
,E5823,2718.00,其它,,,其他,其他,,,,其它,,,5.0英寸,其它,其他,其它,http://item.jd.com/1957271802.html,【eBay精选】索尼/Sony Xperia Z5 Compact 32G 黑色 智能手机,bq_shop01,2
索尼（SONY）,D5833,2588.00,2013年,,,其他,其他,,,,其它,,,其它,"1280×720(HD,720P) ",2070万像素,210万像素,http://item.jd.com/1958210095.html,全球购 索尼（SONY）Z3 MINI (D5833) 索尼手机 防水 单卡手机 白色,FUSTAR数码专营店,1
,E6533,2251.00,2015年,6月,安卓（Android）,Android 5.0,Qualcomm 骁龙,,双四核,,32GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,800万像素,http://item.jd.com/1955058004.html,【eBay精选】索尼（SONY）Xperia Z3+E6533 双卡双待 4G 智能手机,t-dimension8,0
,,2511.00,,,,,,,,,,,,,,,,http://item.jd.com/1957272201.html,【eBay精选】索尼/Sony Xperia Z3+ Dual 32GB 白色 智能手机 ,bq_shop01,3
索尼（SONY）,Z3,2499.00,2015年,,安卓（Android）,Android 5.0,Qualcomm 骁龙,,八核,,32GB ROM,3GB RAM,,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,500万像素,http://item.jd.com/1962284149.html,索尼 SONY E6533 Z3+ 双卡双待 移动联通双4G智能防水手机 云石白 Z3+E6533 双4G版 双卡,数字创想科技（香港）专营店,0
,E6533,2628.00,2015年,6月,安卓（Android）,Android 5.0,Qualcomm 骁龙,,双四核,,32GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,800万像素,http://item.jd.com/1957265320.html,【eBay精选】索尼/Sony Xperia Z3+  5.2吋 32GB 蓝色 智能手机,bq_shop01,8
,,2363.00,,,,,,,,,,,,,,,,http://item.jd.com/1954130821.html,【eBay精选】索尼(SONY) Xperia C5 E5563 智能手机 双卡版,hkbns-global,5
,E5563,2225.00,2015年,8月,安卓（Android）,Android ,联发科（MTK),MT6752,八核,,16GB ROM,2GB RAM,128GB,6.0英寸,"1920×1080(FHD,1080P)",1300万像素,1300万像素,http://item.jd.com/1957271301.html,【eBay精选】索尼(SONY) Xperia C5 E5563 智能手机 双卡版,bq_shop01,0
,D6653,2099.00,2014年,,,Android 4.4,其他,,,,16GB ROM,,,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,200万像素,http://item.jd.com/1957570336.html,全球购 SONY(索尼）Xperia  Z3 D6653 三防防水联通4G智能手机单卡港版 紫色,FUSTAR数码专营店,1
,,2034.00,,,,,,,,,,,,,,,,http://item.jd.com/1955057805.html,【eBay精选】索尼Sony Xperia Z3 Dual TD D6683 4G智能手机,t-dimension8,1
,,2034.00,,,,,,,,,,,,,,,,http://item.jd.com/1955054506.html,【eBay精选】索尼Sony Xperia Z3 Dual TD D6683 4G智能手机,t-dimension8,0
,m4,1799.00,2014年,,,Android ,联发科（MTK),,,,16GB ROM,2GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",其他,490万像素,http://item.jd.com/1955343984.html,全球购 海外版 SONY(索尼）Xperia M4 双卡联通4G手机 黑色 16GB 质保180天只换新,GIT通讯数码旗舰店,2
,E5363,1923.00,2015年,6月,安卓（Android）,Android ,联发科（MTK),,八核,,16GB ROM,2GB RAM,128GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/1956213414.html,【eBay精选】索尼(SONY) Xperia C4 E5363 智能手机双卡版 黑色,hkbns-global,2
,D6683,3399.00,2015年,,安卓（Android）,Android 5.0,Qualcomm 骁龙,,,,16GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,200万像素,http://item.jd.com/1952763834.html,全球购 海外版 SONY(索尼） D6683 Z3 双卡 移动 联通 4G手机 金色 16GB 质保180天只换新,GIT通讯数码旗舰店,16
索尼（SONY）,z5,3688.00,其它,10月,安卓（Android）,,Qualcomm 骁龙,,八核,,32GB ROM,3GB RAM,,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,500万像素,http://item.jd.com/1953034153.html,全球购 海外版 SONY(索尼）港行 Xperia Z5 Dual 麦田金 双卡 移动  联通4G智能手机 质保180天只换新,GIT通讯数码旗舰店,21
,z5,4988.00,2015年,11月,安卓（Android）,Android ,Qualcomm 骁龙,,,,32GB ROM,,,5.5英寸,2560×1440（2K）,1800万以上,500万像素,http://item.jd.com/1954015008.html,全球购 海外版 SONY(索尼）Z5 Premium 尊享版 4K屏 32GB 质保180天只换新 幻影黑 E6853 单卡 联通4G 智能手机,GIT通讯数码旗舰店,76
,,2691.00,,,,,,,,,,,,,,,,http://item.jd.com/1954126717.html,【eBay精选】索尼(SONY) Xperia M5 E5663 智能手机 白色,hkbns-global,22
,,2363.00,,,,,,,,,,,,,,,,http://item.jd.com/1954128670.html,【eBay精选】索尼(SONY) Xperia C5 E5563 智能手机 双卡版,hkbns-global,5
,,2363.00,,,,,,,,,,,,,,,,http://item.jd.com/1954129282.html,【eBay精选】索尼(SONY) Xperia C5 E5563 智能手机 双卡版,hkbns-global,23
,,2691.00,,,,,,,,,,,,,,,,http://item.jd.com/1954129452.html,【eBay精选】索尼(SONY) Xperia M5 E5663 智能手机 金色,hkbns-global,28
,,2691.00,,,,,,,,,,,,,,,,http://item.jd.com/1954130023.html,【eBay精选】索尼(SONY) Xperia M5 智能手机 黑色,hkbns-global,10
,,4029.00,,,,,,,,,,,,,,,,http://item.jd.com/1954998905.html,【eBay精选】索尼/Sony Z5 Premium E6883 解锁 S7006智能手机,t-dimension8,0
,,4049.00,,,,,,,,,,,,,,,,http://item.jd.com/1955000404.html,【eBay精选】索尼/Sony Z5 Premium E6883 32GB  智能手机银色,t-dimension8,0
,,3977.00,,,,,,,,,,,,,,,,http://item.jd.com/1955019501.html,【eBay精选】索尼/Sony Z5 Premium E6883 32GB 黑色 智能手机,t-dimension8,0
,,3183.00,,,,,,,,,,,,,,,,http://item.jd.com/1955055703.html,【eBay精选】索尼 XperiaZ5 Dual E6683 LTE 32GB黑 智能手机,t-dimension8,0
,,3281.00,,,,,,,,,,,,,,,,http://item.jd.com/1955056505.html,【eBay精选】索尼 XperiaZ5 Dual E6683 LTE 32GB绿 智能手机,t-dimension8,3
,,3183.00,,,,,,,,,,,,,,,,http://item.jd.com/1955056904.html,【eBay精选】Sony Xperia Z5 E6683 双卡LTE 32GB指纹解锁手机,t-dimension8,1
,,3183.00,,,,,,,,,,,,,,,,http://item.jd.com/1955057807.html,【eBay精选】索尼XperiaZ5 Dual E6683 LTE 32GB 金 智能手机,t-dimension8,0
索尼（SONY）,E5663,2691.00,2015年,,安卓（Android）,Android ,联发科（MTK),,,,16GB ROM,3GB RAM,,5.0英寸,"1920×1080(FHD,1080P)",2116万像素,1300万像素,http://item.jd.com/1955082101.html,【eBay精选】索尼(SONY) Xperia M5 E5663智能手机 16G 联通4G 黑色,hkbns-global,6
,z5,3899.00,2015年,,安卓（Android）,其他,其他,,,,32MB,,,5.5英寸,1024*768,1800万以上,500万像素,http://item.jd.com/1955493902.html,全球购 SONY(索尼）Xperia Z5 E6883 Premium 尊享版 4K屏 港 银色,量子科技专营店,5
索尼（SONY）,E5563,2363.00,2015年,8月,安卓（Android）,Android ,联发科（MTK),MT6752,八核,,16GB ROM,2GB RAM,128GB,6.0英寸,"1920×1080(FHD,1080P)",1300万像素,1300万像素,http://item.jd.com/1956214202.html,【eBay精选】索尼(SONY) Xperia C5 E5563 智能手机双卡版 绿色,hkbns-global,10
,E6853,4499.00,其它,,,Andriod 5.1,其他,,,,32GB ROM,,,4.7英寸,1080×720 ,2300万像素,支持,http://item.jd.com/1956294809.html,全球购 SONY(索尼）索尼Xperia Z5 樱粉色 单卡 联通4G手机 E6853港行 樱粉色,FUSTAR数码专营店,4
﻿索尼（SONY）,XperiaZ5Dual,3799.00,2015年,10月,安卓（Android）,,Qualcomm 骁龙,,四核&四核,,32GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",2300万像素,500万像素,http://item.jd.com/1956977688.html,索尼（Sony）Xperia Z5 Dual E6683指纹解锁智能4G手机 香港地区直邮 金色,surepromise全球购旗舰店,0
索尼（SONY）,XperiaZ5,3899.00,2015年,10月,安卓（Android）,,Qualcomm 骁龙,,四核&四核,,32GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",2300万像素,500万像素,http://item.jd.com/1956984909.html,索尼（SONY）Xperia Z5 联通4G 32GB 港行手机 石墨黑,surepromise全球购旗舰店,0
,,3410.00,,,,,,,,,,,,,,,,http://item.jd.com/1957266026.html,【eBay精选】索尼/Sony Xperia Z5 5.2寸 32GB 金色 无锁智能手机,bq_shop01,1
,,2248.00,,,,,,,,,,,,,,,,http://item.jd.com/1957266715.html,【eBay精选】索尼/Sony Xperia C5 Ultra Dual白色 智能手机 ,bq_shop01,1
,,3570.00,,,,,,,,,,,,,,,,http://item.jd.com/1957266818.html,【eBay精选】索尼/Sony Xperia Z5 Dual  32G 绿色 智能手机,bq_shop01,0
,,2741.00,,,,,,,,,,,,,,,,http://item.jd.com/1957266968.html,【eBay精选】索尼/Sony Xperia Z5 Compact 32G 黄色 智能手机,bq_shop01,1
,,2788.00,,,,,,,,,,,,,,,,http://item.jd.com/1957266969.html,【eBay精选】索尼/Sony Xperia Z3+ Dual32GB 红色 智能手机,bq_shop01,0
,,3975.00,,,,,,,,,,,,,,,,http://item.jd.com/1957267622.html,【eBay精选】索尼/Sony Xperia Z5 Premium 32G 金色 智能手机,bq_shop01,0
,,3410.00,,,,,,,,,,,,,,,,http://item.jd.com/1957268804.html,【eBay精选】索尼/Sony Xperia Z5 5.2寸 32GB 绿色 无锁 智能,bq_shop01,0
,,2393.00,,,,,,,,,,,,,,,,http://item.jd.com/1957269402.html,【eBay精选】索尼/Sony Xperia Z3 Dual 16GB 古铜色 智能手机,bq_shop01,0
,,2686.00,,,,,,,,,,,,,,,,http://item.jd.com/1957269403.html,【eBay精选】索尼/Sony Xperia Z3+Dual 32GB 绿色 智能手机,bq_shop01,1
,,2393.00,,,,,,,,,,,,,,,,http://item.jd.com/1957269404.html,【eBay精选】索尼/Sony Xperia Z3 Dual 16GB 白色 智能手机,bq_shop01,0
,,3410.00,,,,,,,,,,,,,,,,http://item.jd.com/1957269505.html,【eBay精选】索尼/Sony Xperia Z5 5.2寸 32GB 黑色 无锁智能手机,bq_shop01,0
,,2562.00,,,,,,,,,,,,,,,,http://item.jd.com/1957269758.html,【eBay精选】索尼/Sony Xperia Z3 Dual 16GB 黑色 智能手机,bq_shop01,3
,,2267.00,,,,,,,,,,,,,,,,http://item.jd.com/1957269911.html,【eBay精选】索尼/Sony Xperia C5 Ultra Dual黑色 智能手机 ,bq_shop01,0
,,3969.00,,,,,,,,,,,,,,,,http://item.jd.com/1957269912.html,【eBay精选】索尼/Sony Xperia Z5 Premium 32G 金色 智能手机,bq_shop01,0
,,2628.00,,,,,,,,,,,,,,,,http://item.jd.com/1957269914.html,【eBay精选】索尼/Sony E6553 5.2寸 32GB 白色 无锁 智能手机 ,bq_shop01,0
,,2628.00,,,,,,,,,,,,,,,,http://item.jd.com/1957270115.html,【eBay精选】索尼/Sony Xperia Z3+ 5.2寸 32GB 红色 智能手机,bq_shop01,1
,,2499.00,,,,,,,,,,,,,,,,http://item.jd.com/1957270205.html,【eBay精选】索尼/Sony Xperia Z3  5.2寸 16GB 白色 智能手机 ,bq_shop01,0
,,3583.00,,,,,,,,,,,,,,,,http://item.jd.com/1957270206.html,【eBay精选】索尼/Sony Xperia Z5 Dual 32G 黑色 双待 智能手机,bq_shop01,1
,,3544.00,,,,,,,,,,,,,,,,http://item.jd.com/1957270511.html,【eBay精选】索尼/Sony Xperia Z5 Dual 32G 白色 双待 智能手机,bq_shop01,0
,,3977.00,,,,,,,,,,,,,,,,http://item.jd.com/1957270515.html,【eBay精选】索尼/Sony Xperia Z5 Premium 32G 黑色 智能手机,bq_shop01,0
,,2616.00,,,,,,,,,,,,,,,,http://item.jd.com/1957271107.html,【eBay精选】索尼/Sony Xperia Z3 5.2寸 16GB 黑色 智能手机,bq_shop01,0
,,2628.00,,,,,,,,,,,,,,,,http://item.jd.com/1957271108.html,【eBay精选】索尼/Sony Xperia Z3+ 5.2寸 32GB 黑色 智能手机,bq_shop01,1
,,3906.00,,,,,,,,,,,,,,,,http://item.jd.com/1957271401.html,【eBay精选】索尼/Sony Xperia Z5 Premium 32G 铬色 智能手表,bq_shop01,0
,,3514.00,,,,,,,,,,,,,,,,http://item.jd.com/1957271702.html,【eBay精选】索尼/Sony Xperia Z5 5.2寸 32GB 白色 无锁智能手机,bq_shop01,0
,,3544.00,,,,,,,,,,,,,,,,http://item.jd.com/1957271905.html,【eBay精选】索尼/Sony Xperia Z5 Dual  32G 金色 智能手机,bq_shop01,0
,,2687.00,,,,,,,,,,,,,,,,http://item.jd.com/1957272103.html,【eBay精选】索尼/Sony Xperia Z3+ Dual 32GB 黑色 智能手机,bq_shop01,1
,,2499.00,,,,,,,,,,,,,,,,http://item.jd.com/1957272302.html,【eBay精选】索尼/Sony Xperia Z3 5.2寸 16GB 古铜色 智能手机,bq_shop01,0
,,4102.00,,,,,,,,,,,,,,,,http://item.jd.com/1957272801.html,【eBay精选】索尼/Sony Xperia Z5 Premium 32G 黑色 智能手机,bq_shop01,1
,,4114.00,,,,,,,,,,,,,,,,http://item.jd.com/1957272901.html,【eBay精选】索尼/Sony Xperia Z5 Premium 32G 铬色 智能手机,bq_shop01,0
索尼爱立信（Sony Ericsson）,Z5,3879.00,2015年,10月,安卓（Android）,Andriod 5.1,其他,,八核,,32GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,500万像素,http://item.jd.com/1957315798.html,全球购 SONY(索尼）Xperia Z5 双卡双待智能4G手机 元素白,香港智诚博扬专营店,5
,Z3,2798.00,2015年,,安卓（Android）,Android 5.0,其他,,,,16GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",2070万像素,200万像素,http://item.jd.com/1957323539.html,全球购 SONY(索尼) D6683 Z3 港行 双卡双待 移动 联通4G 手机 皎月白,香港智诚博扬专营店,0
索尼爱立信（Sony Ericsson）,Z5,4268.00,2015年,11月,安卓（Android）,Andriod 5.1,其他,,八核,,32GB ROM,3GB RAM,,5.5英寸,3840*2160,2300万像素,500万像素,http://item.jd.com/1957335805.html,全球购SONY(索尼）E6883 Z5 Premium 尊享版 4K屏 32GB 双卡手机 幻影黑 E6853 单卡 联通4G,香港智诚博扬专营店,2
索尼（SONY）,E6683,3931.00,2015年,10月,安卓（Android）,,Qualcomm 骁龙,,双四核,,32GB ROM,3GB RAM,,5.2英寸,3840*2160,2300万像素,500万像素,http://item.jd.com/1958318478.html,【eBay精选】索尼 Xperia Z5 双4G 32GB E6683  港行智能手机 青川绿,hkbns-global,1
,E6883,5453.00,2015年,10月,安卓（Android）,Andriod 5.1,其他,,,,32GB ROM,3GB RAM,,5.5英寸,其它,2300万像素,500万像素,http://item.jd.com/1958957678.html,【全球购】索尼(SONY) E6883 Xperia Z5尊享版 双4G手机 4K显示屏 璨光金 32G,魔力世界数码生活专营店,0
,E5823,3669.00,2015年,10月,安卓（Android）,Andriod 5.1,其他,,,,32GB ROM,2GB RAM,,其它,1080×720 ,其他,500万像素,http://item.jd.com/1959040867.html,【全球购】索尼（Sony）Xperia Z5 Compact E5823智能手机 珊瑚红 32G,魔力世界数码生活专营店,0
