品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
TCL,i310,179.00,2013年,12月,,其他,联发科（MTK),MT6250,,,64MB ROM,,16GB,2.4英寸,240*320,不支持,不支持,http://item.jd.com/1027857.html,TCL 老人手机 (i310) 纯净白 移动联通2G手机,TCL手机旗舰店,96695
TCL,M2M,658.00,2014年,12月,安卓（Android）,Android 4.4,联发科（MTK),MT6752,八核,,16GB ROM,2GB RAM,32GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/10043255901.html,TCL M2M 么么哒3N移动4G双卡双待安卓智能手机 雪山白,卓瓦手机专营店,564
TCL,302U,325.00,2015年,10月,安卓（Android）,Android 4.4,联发科（MTK),,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/10098133552.html,TCL 302U 联通移动双4G手机 双卡双待 雪山白,优爱特手机专营店,361
TCL,P620M,499.00,2015年,,安卓（Android）,Android 5.0,其他,,四核,,16GB ROM,2GB RAM,,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/1648379125.html,TCL P620M  移动4G手机 双卡双待 2GB+16GB 雪山白,优爱特手机专营店,522
TCL,P590L,699.00,2015年,12月,安卓（Android）,Andriod 5.1,Qualcomm 骁龙,MSM8916,四核,Adreno 306,16GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,800万像素,http://item.jd.com/2199752.html,TCL 乐玩2C P590L 闪耀白 电信4G手机 双卡双待,TCL手机旗舰店,1157
,p501m,295.00,2015年,,安卓（Android）,Android 4.4,联发科（MTK),,四核,,4GB ROM,,,5.0英寸,480×854,500万像素,其它,http://item.jd.com/10041391735.html,TCL P501M 移动4G 双卡双待手机 白色,天探手机专营店,103
TCL,P501M,295.00,2015年,5月,安卓（Android）,Android 4.4,联发科（MTK),,四核,,4GB ROM,512MB RAM,32GB,5.0英寸,480×854,500万像素,其它,http://item.jd.com/10022899255.html,TCL P501M 移动4G手机 双卡双待 纯净白,优爱特手机专营店,143
TCL,P318L,425.00,2015年,,,Android 4.4,Qualcomm 骁龙,,,,8GB ROM,1GB RAM,32GB,5.0英寸,480×800,500万像素,30万像素,http://item.jd.com/10058094674.html,TCL P318L 电信4G手机 双卡双待 闪耀白,优爱特手机专营店,368
,302u,325.00,2015年,,安卓（Android）,Android 4.4,联发科（MTK),,四核,,8GB ROM,1GB RAM,,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/10129744411.html,TCL 302U 联通移动双4G手机 双卡双待 白色,天探手机专营店,141
,F200,258.00,2014年,12月,,其他,其他,,,,无,,16GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10116442517.html,TCL 骨传导翻盖老人机 (f200)   移动联通2G手机 红色,天探手机专营店,45
TCL,i310,179.00,2013年,8月,,无,其他,,,,无,,,2.4英寸,240*320,其他,不支持,http://item.jd.com/1670613101.html,TCL i310 移动/联通2G老人手机 暗夜黑,优爱特手机专营店,199
TCL,H916T,499.00,2014年,11月,安卓（Android）,Android 4.2,联发科（MTK),,双核,,4GB ROM,512MB RAM,32GB,4.5英寸,960×540(QHD),500万像素,30万像素,http://item.jd.com/1725590820.html,TCL H916T 晚美移动3G联通2G 智能老人手机 陨石黑 官方标配,昕薇数码专营店,29
TCL,f210,199.00,2015年,,,无,联发科（MTK),,单核,,64MB ROM,64MB RAM,16GB,2.4英寸,240*320,不支持,不支持,http://item.jd.com/10055885513.html,TCLf210 移动/联通2G 老人手机 暗夜黑,小淘器数码专营店,484
TCL,i310,219.00,2014年,12月,,其他,联发科（MTK),,,,128MB ROM,64MB RAM,16GB,2.4英寸,240*320,200万像素,不支持,http://item.jd.com/1648431232.html,TCL i310+ 移动联通2G老人手机 暗夜黑,优爱特手机专营店,208
TCL,i310,179.00,2014年,,,其他,其他,,,,64MB ROM,,16GB,2.4英寸,240*320,不支持,不支持,http://item.jd.com/10254403020.html,TCL 老人手机 (i310) 移动联通2G直板按键手机 黑色,天探手机专营店,15
,P590L,699.00,2015年,12月,安卓（Android）,Andriod 5.1,Qualcomm 骁龙,MSM8916,四核,,16GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,800万像素,http://item.jd.com/10326639851.html,TCL 乐玩2C P590L 电信4G手机 双卡双待 香槟金,卓瓦手机专营店,2
,P590L,699.00,2015年,12月,安卓（Android）,Android ,Qualcomm 骁龙,,,,16GB ROM,,,5.0英寸,"1280×720(HD,720P) ",800万像素,800万像素,http://item.jd.com/10254593728.html,TCL 乐玩2C P590L 闪耀白 电信4G手机 双卡双待 白色 标配版(2G RAM+16G ROM),中恒国信手机旗舰店,2
TCL,P631M,690.00,2015年,,安卓（Android）,Android 4.3,Marvell,,四核,,8GB ROM,1GB RAM,32GB,6.0英寸以上,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/10298672977.html,TCL P631M 移动4G手机 蔓越莓 1G+8G 标准版,优爱特手机专营店,0
TCL,P618L,659.00,2015年,4月,安卓（Android）,其他,Qualcomm 骁龙,,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,其它,1300万像素,500万像素,http://item.jd.com/10338310943.html,TCL P618L  电信4G  双卡双待 安卓智能手机 黑色,卓瓦手机专营店,1
TCL,idol3,1088.00,2015年,,,Android 5.0,Qualcomm 骁龙,,,,16GB ROM,,,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/10280241876.html,TCL idol3 (i806) 全网通 双卡双待4G手机 苍穹灰(16G ROM) 标配版,河北启迪手机专营店,0
,p590L,699.00,2015年,,安卓（Android）,Andriod 5.1,Qualcomm 骁龙,MSM8916,四核,,16GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,800万像素,http://item.jd.com/10292657138.html,TCL 乐玩2C P590L 电信4G 双卡双待手机 白色,天探手机专营店,1
,F210,199.00,2015年,,,无,其他,,,,其它,,,2.4英寸,240*320,不支持,不支持,http://item.jd.com/10225849060.html,TCLf210 移动/联通2G直板按键 老人手机 黑色,天探手机专营店,4
TCL,P560M,499.00,2015年,9月,安卓（Android）,,联发科（MTK),,四核,,8GB ROM,1GB RAM,32GB,5.5英寸,"1280×720(HD,720P) ",800万像素,500万像素,http://item.jd.com/10064515789.html,TCL P560M 移动4G手机 双卡双待 雅士白,优爱特手机专营店,15
TCL,P316L,439.00,2015年,,安卓（Android）,Android ,其他,,,,4GB ROM,512MB RAM,,5.0英寸,480×854,500万像素,30万像素,http://item.jd.com/10223405717.html,TCL P316L 电信4G手机  双卡双待 雪山白1G+8G,优爱特手机专营店,403
TCL,P501M,295.00,2015年,,,Android 4.4,其他,,,,4GB ROM,512MB RAM,,5.0英寸,480×854,500万像素,支持,http://item.jd.com/10051168140.html,TCL P501M  移动4G手机 白色 标配版,佳沪数码手机旗舰店,35
TCL,f200,258.00,2014年,,,其他,其他,,,,无,,4GB,其它,240*320,30万像素,不支持,http://item.jd.com/1398051532.html,TCL F200 翻盖老人手机 大字大屏大声按键 老人手机 骨传导超薄手机 暗夜黑,优爱特手机专营店,180
TCL,M2L,658.00,2015年,3月,安卓（Android）,Android 4.4,Qualcomm 骁龙,MSM8939,八核,,16GB ROM,2GB RAM,32GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,800万像素,http://item.jd.com/10010459568.html,TCL M2L 么么哒3N 电信4G 双卡双待 智能手机 香槟金,卓瓦手机专营店,274
TCL,P620M,428.00,2015年,,安卓（Android）,其他,其他,,,,8GB ROM,1GB RAM,,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/10028095200.html,TCL P620M 小野版 移动4G手机 双卡双待 1GB+8GB 暗月灰,优爱特手机专营店,107
TCL,P335M,289.00,2015年,,安卓（Android）,Android 4.4,Qualcomm 骁龙,,,,4GB ROM,512MB RAM,32GB,4.5英寸,480×800,200万像素,30万像素,http://item.jd.com/10085416855.html,TCL P335M 移动4G手机 双卡双待手机 白色 标配版,佳沪数码手机旗舰店,4
TCL,P590L,699.00,2015年,,安卓（Android）,Andriod 5.1,Qualcomm 骁龙,MSM8916,四核,,16GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,800万像素,http://item.jd.com/10282260791.html,TCL 乐玩2C P590L  电信4G手机 双卡双待 闪耀白 2G+16G标准版,优爱特手机专营店,1
TCL,F210,199.00,2015年,,,无,其他,,,,无,,,2.4英寸,240*320,不支持,不支持,http://item.jd.com/10277277662.html,TCL F210 移动/联通2G 老人手机 黑色,优爱特手机专营店,0
TCL,m2L,789.00,2015年,,,Android ,Qualcomm 骁龙,,,,16GB ROM,2GB RAM,32GB,5.5英寸,"1280×720(HD,720P) ",1300万像素,800万像素,http://item.jd.com/1757780982.html,TCL M2L 么么哒3N 电信4G手机 双卡双待 雪山白(1+8G)版本,优爱特手机专营店,227
TCL,J326T,299.00,2014年,,安卓（Android）,其他,展讯,MT6589,双核,,512MB ROM,256MB RAM,32GB,4.0英寸,480×800,200万像素,不支持,http://item.jd.com/10097657335.html,TCL J326T 移动3G手机 双卡双待 黑色,优爱特手机专营店,2
