品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
优思（Uniscope）,US1,158.00,2015年,11月,,无,其他,,,,32MB,32MB RAM,8GB,2.0英寸,240*320,30万像素,不支持,http://item.jd.com/10076670714.html,优思 US1 移动 联通 三防 老人手机 绿色,华宇广诚手机专营店,2719
优思（Uniscope）,US88T,79.00,2015年,4月,,无,其他,,,,无,32MB RAM,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1515730018.html,优思（Uniscope）US88T 移动/联通GSM老人手机 金色,浦歌手机专营店,25484
优思（Uniscope）,US68A,99.00,2015年,7月,,无,Qualcomm 骁龙,,,,无,,,1.8英寸,160*128,不支持,不支持,http://item.jd.com/1629502079.html,优思（Uniscope）US68A  电信2G老人手机 红色,优思旗舰店,5066
,US68C,99.00,2015年,,,无,其他,,,,无,,,4英寸以下,320*480,不支持,不支持,http://item.jd.com/10121761532.html,优思（Uniscope） US68C  电信2G 老人手机 金色,众能兆科手机专营店,395
优思（Uniscope）,US1,158.00,2015年,11月,,无,其他,,,,32MB,,16GB,2.0英寸,128×128,30万像素,不支持,http://item.jd.com/10128074261.html,优思（Uniscope）US1 移动联通功能机 三防老人机 手机 绿色,久汇手机专营店,664
优思（Uniscope）,US3,209.00,2016年,2月,,无,Qualcomm 骁龙,,,,其它,,8GB,2.0英寸,240*320,30万像素,不支持,http://item.jd.com/10211841562.html,优思（Uniscope）US3 电信老人机 三防功能手机 迷彩,久汇手机专营店,220
优思（Uniscope）,US3,199.00,2016年,2月,,无,Qualcomm 骁龙,,,,其它,,,2.0英寸,240*320,30万像素,不支持,http://item.jd.com/10129786409.html,优思（Uniscope）US3 电信三防手机 老人机 军绿色,华宇广诚手机专营店,174
优思（Uniscope）,,129.00,2014年,11月,,无,Qualcomm 骁龙,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1398847306.html,优思（Uniscope）US68v 电信2G老人手机 金色,浦歌手机专营店,9022
优思（Uniscope）,US88C,99.00,2015年,5月,,无,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1601540868.html,优思（Uniscope）US88c 移动/联通2G老人手机 粉色,优思旗舰店,5647
优思（Uniscope）,U19,399.00,2016年,,,YunOS,联发科（MTK),,,,16GB ROM,,,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/10251481802.html,优思（Uniscope） U19 移动4G 智能手机 双卡双待 金色,众能兆科手机专营店,41
优思（Uniscope）,UW2014D,149.00,2015年,11月,,无,联发科（MTK),,,,32MB,32MB RAM,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10028578383.html,优思（Uniscope）U W2014D 移动/联通2G老年机 老人翻盖手机 女款 学生机 粉色,优思旗舰店,1194
,US88C,86.00,2015年,3月,,其他,其他,,,,无,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10080963088.html,优思（Uniscope）US88c 移动/联通2G双卡双待老人手机 金色,天探手机专营店,577
优思（Uniscope）,US98c,209.00,2015年,4月,,无,Qualcomm 骁龙,,,,无,32MB RAM,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1510046241.html,优思（Uniscope）US98c 电信2G经典翻盖老人手机 黑色,浦歌手机专营店,3023
优思（Uniscope）,US68V,129.00,2015年,5月,,无,Qualcomm 骁龙,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1601407827.html,优思（Uniscope）US68v 电信2G老人手机 金色,优思旗舰店,787
,US88T,85.00,2014年,,,其他,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1578441359.html,优思（Uniscope）US88T 移动/联通GSM老人手机 金色,天探手机专营店,3618
优思（Uniscope）,UW2015,1280.00,2015年,1月,安卓（Android）,Android 4.4,Qualcomm 骁龙,MSM8916,四核,,16GB ROM,1GB RAM,32GB,3.9英寸,480×800,1300万像素,500万像素,http://item.jd.com/1523704527.html,优思（Uniscope）U W2015 电信4G翻盖手机 双卡双待 银色,浦歌手机专营店,84
优思（Uniscope）,UW2014G,249.00,2015年,11月,,无,联发科（MTK),,,,32MB,32MB RAM,8GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10037069502.html,优思（Uniscope）U W2014G 移动联通 翻盖老人手机 老人机 老年手机 黑色,优思旗舰店,278
优思（Uniscope）,US88c,99.00,2015年,3月,,无,其他,,,,无,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1494926978.html,优思（Uniscope）US88c 移动/联通2G老人手机 粉色,浦歌手机专营店,1524
优思（Uniscope）,US88p,79.00,2015年,,,其他,其他,,,,32MB,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10138130145.html,优思（Uniscope）US88P 移动/联通老人手机 金色,久汇手机专营店,90
优思（Uniscope）,US2,149.00,2016年,1月,,无,其他,,,,32MB,32MB RAM,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10121398514.html,优思（Uniscope）US2 移动联通2G三防手机 老人手机 黑色,华宇广诚手机专营店,131
优思（Uniscope）,US88T,89.00,2015年,5月,,无,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1601469005.html,优思（Uniscope）US88T 移动/联通GSM老人手机 金色,优思旗舰店,1622
优思（Uniscope）,US68A,99.00,2015年,,,其他,其他,,,,其它,,,1.8英寸,160*128,不支持,不支持,http://item.jd.com/10228278148.html,优思（Uniscope）US68A 电信2G 老人手机 黑色,旭永数码专营店,46
优思（Uniscope）,US2,149.00,2015年,,,其他,其他,,,,32MB,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10269329841.html,优思US2 移动/联通2G三防老人手机 备用机 黑色,久汇手机专营店,19
优思（Uniscope）,US99,169.00,2015年,10月,,无,联发科（MTK),,,,无,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1785112681.html,优思（Uniscope）US99 移动联通翻盖老人手机 金色,优思旗舰店,465
