品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
小辣椒,小辣椒 红辣椒X1,479.00,2015年,9月,,LA-UI by YunOS,联发科（MTK),MT6735,四核,,16GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,500万像素,http://item.jd.com/2368867.html,小辣椒 红辣椒X1 水墨白 移动4G手机 双卡双待,小辣椒手机旗舰店,5360
,小辣椒 红辣椒Note3 白色 联通移动4G 双卡双待,699.00,2016年,1月,安卓（Android）,Android ,联发科（MTK),MT6753,八核,,16GB ROM,2GB RAM,64GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,500万像素,http://item.jd.com/2326463.html,小辣椒 红辣椒Note3 白色 移动联通4G手机 双卡双待,小辣椒手机旗舰店,8349
小辣椒,小辣椒 红辣椒任性版+,399.00,2015年,12月,安卓（Android）,Android ,Marvell,Marvell PXA1908,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/2361798.html,小辣椒 红辣椒任性版+ 白色 移动联通4G手机 双卡双待,小辣椒手机旗舰店,22629
小辣椒,小辣椒 红辣椒金典 JD-Plus,599.00,2016年,,,其他,展讯,SC9832,四核,,16GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/2760459.html,小辣椒 红辣椒金典JD-Plus 金色 移动联通4G手机 双卡双待,小辣椒手机旗舰店,323
,Q1,599.00,2016年,,,其他,其他,,四核,,8GB ROM,1GB RAM,,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/10194474147.html,小辣椒 红辣椒Q1 （GM-Q1）全网通4G 双卡双待 智能手机 白色,天探手机专营店,392
,红辣椒国民猴赛雷,399.00,2016年,,,其他,展讯,,,,8GB ROM,1GB RAM,,5.0英寸,"1280×720(HD,720P) ",500万像素,200万像素,http://item.jd.com/2769270.html,小辣椒 红辣椒T1国民猴赛雷 白色 移动4G手机 双卡双待,小辣椒手机旗舰店,94
小辣椒,小辣椒 红辣椒XM-W,499.00,2016年,,,YunOS,联发科（MTK),MT6735P,,,8GB ROM,1GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/2543671.html,小辣椒 红辣椒XM-W 金色 移动联通4G手机 双卡双待,小辣椒手机旗舰店,365
,MT6735,599.00,2016年,,,其他,联发科（MTK),,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/2787304.html,小辣椒 红辣椒Q1国民全网通 白色 双卡双待 全网通4G手机,小辣椒手机旗舰店,45
,20151209T,399.00,2016年,,,其他,展讯,,四核,,8GB ROM,1GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",500万像素,200万像素,http://item.jd.com/10212035807.html,小辣椒 红辣椒T1 (GM-T1)  移动4G 双卡双待 手机 白色,天探手机专营店,59
,SP9830,599.00,2016年,,,其他,展讯,,,,8GB ROM,1GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,500万像素,http://item.jd.com/2825210.html,小辣椒 红辣椒JD-T 金色 移动4G手机 双卡双待 ,,35
,X3,429.00,2016年,,安卓（Android）,Android 4.4,Qualcomm 骁龙,,四核,,8GB ROM,1GB RAM,,4.7英寸,960×540(QHD),800万像素,800万像素,http://item.jd.com/10218984633.html,小辣椒 X3  移动4G手机 双卡双待 金色,天探手机专营店,92
,SN,409.00,2015年,,,其他,其他,,,,8GB ROM,1GB RAM,,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/10110996361.html,小辣椒 红辣椒任性版+  移动联通4G手机 双卡双待 金色,天探手机专营店,2059
