品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
中兴（ZTE）,C880A,699.00,2016年,1月,,Android ,联发科（MTK),MT6735,四核,,16GB ROM,2GB RAM,128GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,800万像素,http://item.jd.com/2311710.html,中兴 Blade A1(C880A) 16G 灵动白 全网通版 双卡双待,中兴手机旗舰店,52281
中兴（ZTE）,远航 Plus,517.00,2015年,,安卓（Android）,Android ,Qualcomm 骁龙,MSM8916,四核,,16GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",1300万像素,500万像素,http://item.jd.com/2323950.html,中兴  远航 Plus 移动4G手机 双卡双待,中兴手机旗舰店,8290
中兴（ZTE）,L580,238.00,2015年,1月,,其他,联发科（MTK),,单核,,32MB,64MB RAM,16GB,2.3英寸,240*320,30万像素,不支持,http://item.jd.com/1466498777.html,中兴（ZTE）L580  移动/联通2G 老人手机 黑色,君可安手机专营店,62803
中兴（ZTE）,天机 GRAND SII,599.00,2014年,,安卓（Android）,Android ,Qualcomm 骁龙,MSM8974AB,四核,Adreno330,16GB ROM,2GB RAM,32GB,5.5英寸,"1920×1080(FHD,1080P)",1300万像素,200万像素,http://item.jd.com/1111127.html,中兴 天机 GRAND SII (S291) 白色 移动联通4G手机,中兴手机旗舰店,16734
中兴（ZTE）,L688,188.00,2016年,,,其他,联发科（MTK),,,,无,,,2.3英寸,240*320,30万像素,不支持,http://item.jd.com/10104331381.html,中兴（ZTE）L688 移动/联通2G 老人手机 金色 老年版,中兴一鼎轩专卖店,3713
中兴,U288G,228.00,2015年,7月份,无,其他,其他,,单核,,204K,32MB RAM,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/2298687.html,中兴（ZTE）U288G移动联通2G 老人手机 黑色,中兴手机旗舰店,3361
中兴（ZTE）,L518,299.00,2016年,1月,,其他,其他,,,,32MB,,,3.0英寸,240*320,130万以下 ,不支持,http://item.jd.com/10119532340.html,中兴（ZTE）L518  移动/联通2G 翻盖男女款老人手机 儒雅黑 老年版,中兴一鼎轩专卖店,2013
中兴（ZTE）,AXON天机 mini,1699.00,2015年,,安卓（Android）,MiFavor UI 3.2（基于Android  5.1）,Qualcomm 骁龙,高通 MSM8939,八核,Adreno 405,32GB ROM,3GB RAM,128GB,5.2英寸,"1920×1080(FHD,1080P)",1300万像素,800万像素,http://item.jd.com/2079831.html,中兴 AXON 天机 mini 压力屏版 B2015 华尔金 移动联通电信4G 双卡双待,中兴手机旗舰店,4225
中兴（ZTE）,L688,188.00,2016年,1月,,其他,其他,,,,其它,,,2.3英寸,240*320,30万像素,不支持,http://item.jd.com/1723110425.html,中兴(ZTE)L688 移动/联通2G老人手机 红色 老年版,维库精品手机专营店,1895
中兴（ZTE）,L588,299.00,2015年,9月,,无,其他,,,,其它,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1724874322.html,中兴（ZTE）L588 移动/联通2G 翻盖老人手机 黑色,中兴一鼎轩专卖店,7030
中兴（ZTE）,V16,258.00,2015年,,,其他,Qualcomm 骁龙,,,,其它,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1494664620.html,中兴（ZTE）ZTE-C V16 电信2G老人手机 黑色,君可安手机专营店,11229
中兴（ZTE）,C880S,799.00,2015年,,,Android ,联发科（MTK),,四核,,8GB ROM,2GB RAM,128GB,5.0英寸,其它,1300万像素,800万像素,http://item.jd.com/10116561675.html,中兴 小鲜3 4G手机 双卡双待 金色 全网通4G版 标配,牧申数码专营店,734
中兴（ZTE）,L530,199.00,2009年,,,无,其他,,,,无,,8GB,2.3英寸,240*320,不支持,不支持,http://item.jd.com/1630502836.html,中兴（ZTE）L530G 移动/联通2G 老人手机 黑色,欧霖爵手机专营店,33278
