品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
大显（DaXian）,R7,599.00,2015年,11月,,YunOS,联发科（MTK),,四核,,16GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/10110820391.html,大显 R7双卡双待指纹解锁智能手机移动4G 金属边框 2.5D玻璃 爵士金 16G,名宣手机专营店,1119
大显（DaXian）,D189,69.00,2013年,,,无,其他,,,,无,,4GB,4英寸以下,240*320,30万像素,不支持,http://item.jd.com/1064358527.html,大显（DaXian）D189 移动/联通2G 老人手机 红色 官方标配,亿维联创手机专营店,82243
大显（DaXian）,DaXian7i,399.00,2016年,2月,,YunOS,联发科（MTK),,四核,,16GB ROM,1GB RAM,32GB,5.5英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10140241554.html,大显 DaXian 7i 移动4G智能手机 双卡双待 金色,畅通浩宇手机专营店,1211
大显（DaXian）,DX868,99.00,2014年,,,无,其他,,单核,,无,,8GB,4英寸以下,240*320,不支持,不支持,http://item.jd.com/1062831420.html,大显DX868老人机 移动联通2G老人手机 中国红 老年版,维库精品手机专营店,11518
大显（DaXian）,R7,599.00,2015年,11月,,YunOS,联发科（MTK),,四核,,16GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/10050169631.html,大显（DaXian）R7 移动4G 双卡双待 智能手机 爵士金 官方标配,亿维联创手机专营店,1078
大显（DaXian）,DX588,158.00,2015年,,,无,其他,,,,无,,8GB,2.4英寸,240*320,8万像素,不支持,http://item.jd.com/10030250529.html,大显DX588 老人手机 三防 移动 联通 迷彩,云和三防手机专营店,6662
大显（DaXian）,F189,168.00,2014年,6月,,无,其他,,,,无,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1444971353.html,大显（DaXian）F189 翻盖老人手机 移动/联通2G 双卡双待 红色,君可安手机专营店,10742
大显（DaXian）,DX886,199.00,2013年,,,其他,其他,,,,无,,4GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1310105093.html,大显（DaXian）DX886 移动/联通2G翻盖老人手机 双卡双待 红色,鸿锐科技手机专营店,11143
大显（DaXian）,7i,398.00,2016年,,,YunOS,联发科（MTK),,,,16GB ROM,1GB RAM,32GB,5.5英寸,480×854,800万像素,200万像素,http://item.jd.com/10158523142.html,大显 DaXian 7i 移动4G智能手机 双卡双待 金色,大显谷鸽专卖店,413
,C68,179.00,2015年,10月,,无,其他,,,,无,,,4英寸以下,240*320以下,130万以下 ,不支持,http://item.jd.com/1295153640.html,大显C68电信2G三防老人手机 橙,豪泰手机专营店,3071
大显（DaXian）,JL555,108.00,2015年,,,无,其他,,,,无,,2GB,1.8英寸,240*320,130万以下 ,不支持,http://item.jd.com/1633960395.html,大显（DaXian）JL555 电信2G老人手机 黑色 电信老年版,易为理想手机专营店,3937
