
----------- 奥迪 -----------
奥迪A6L	75.76万元
奥迪A4L	36.30万元
奥迪Q5	53.40万元
奥迪Q3	33.58万元
奥迪A8L	271.50万元
奥迪A3三厢	28.10万元
奥迪R8	235.30万元
奥迪Q7	109.88万元
奥迪A7	70.80万元
奥迪A1	20.48万元
奥迪S8	198.80万元
奥迪A3两厢	27.70万元
奥迪TT双门	56.98万元
奥迪A5双门	58.60万元
奥迪A3敞篷	36.98万元
奥迪A4 allroad	41.80万元
奥迪RS7	169.88万元
奥迪A6 allroad	59.98万元
奥迪A5敞篷	62.80万元
奥迪RS5	109.80万元
奥迪A5掀背	39.80万元
奥迪S3三厢	39.98万元
奥迪SQ5	66.80万元
奥迪Q5混合动力	60.80万元
奥迪S6	99.98万元
奥迪S7	135.80万元
奥迪A6混合动力	63.80万元
奥迪TT敞篷	61.78万元
奥迪TTS敞篷	72.98万元
奥迪Q5(进口)	61.80万元
奥迪A3两厢(进口)	29.98万元
奥迪S5双门	75.80万元
奥迪A3 e-tron	39.98万元
奥迪TTS双门	68.18万元
奥迪A3三厢(进口)	30.48万元
奥迪A8L混合动力	109.80万元
奥迪S5敞篷	85.80万元
奥迪S5掀背	67.90万元

----------- 阿斯顿·马丁 -----------
DB11	328.80万元
拉共达Taraf	810.00万元
Vanquish 	537.20万元
DB9	373.80万元
V8 Vantage	218.80万元
Rapide	318.80万元
V12 Vantage	309.80万元

----------- 宝马 -----------
宝马X1	43.90万元
宝马3系	30.98万元
宝马5系	68.86万元
宝马7系	102.80万元
宝马i8	198.80万元
宝马X5	75.80万元
宝马X3	42.10万元
宝马X6	83.80万元
宝马M2	64.05万元
宝马2系敞篷	32.53万元
宝马Z4	90.90万元
宝马X4	77.40万元
宝马1系两厢	27.60万元
宝马2系旅行车	23.69万元
宝马4系四门	71.00万元
宝马3系GT	66.70万元
宝马M4双门	92.70万元
宝马5系GT	168.80万元
宝马4系双门	66.60万元
宝马2系Active Tourer	34.99万元
宝马6系四门	95.20万元
宝马i3	41.68万元
宝马2系	27.60万元
宝马4系敞篷	74.60万元
宝马M5	178.80万元
宝马5系混合动力	69.86万元
宝马5系旅行车	65.60万元
宝马X6 M	215.80万元
宝马M3四门	99.80万元
宝马6系敞篷	112.80万元
宝马X5 M	198.80万元
宝马2系Gran Tourer	32.99万元
宝马X5混合动力	92.80万元
宝马M6双门	220.60万元
宝马M4敞篷	113.00万元
